Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
158.000000, 5.493164, 19.378662, 8.850098, 19.378662, 23.193359, 19.836426, 13.427734, 5.950928, 37.994385, 1.525879, 0.443182, 0.443182, 0.000000, 0.000000, 0.000000
336.000000, 5.493164, 19.378662, 8.850098, 19.378662, 22.583008, 19.073486, 13.122559, 5.798340, 37.231445, 1.525879, 0.441860, 0.442521, 0.001321, 0.000661, 0.000000
516.000000, 5.493164, 19.378662, 8.850098, 19.378662, 23.040771, 19.531250, 13.427734, 5.950928, 37.536621, 1.525879, 0.443182, 0.442741, -0.001321, 0.000000, 0.000000
696.000000, 5.340576, 19.378662, 8.850098, 19.378662, 23.040771, 19.531250, 13.275146, 5.950928, 37.536621, 1.525879, 0.448276, 0.444125, -0.005094, -0.001274, 0.000000
879.000000, 5.493164, 19.378662, 8.850098, 19.378662, 23.040771, 19.531250, 13.275146, 5.950928, 37.536621, 1.525879, 0.448276, 0.444955, 0.000000, -0.001019, 0.000000
1060.000000, 5.493164, 19.378662, 8.850098, 19.531250, 23.040771, 19.531250, 13.275146, 5.950928, 37.536621, 1.525879, 0.448276, 0.445509, 0.000000, -0.000849, 0.000000
1241.000000, 5.493164, 19.378662, 8.850098, 19.378662, 22.888184, 19.378662, 13.275146, 5.950928, 37.536621, 1.525879, 0.448276, 0.445904, 0.000000, -0.000728, 0.000000
1423.000000, 5.493164, 19.378662, 8.850098, 19.378662, 23.040771, 19.683838, 13.275146, 5.950928, 37.536621, 1.525879, 0.448276, 0.446200, 0.000000, -0.000637, 0.000000
1604.000000, 5.340576, 19.378662, 8.850098, 19.378662, 23.040771, 19.531250, 13.275146, 5.950928, 37.536621, 1.525879, 0.448276, 0.446431, 0.000000, -0.000566, 0.000000
1786.000000, 5.493164, 19.378662, 8.850098, 19.378662, 23.040771, 19.531250, 13.275146, 5.950928, 37.384033, 1.525879, 0.448276, 0.446616, 0.000000, -0.000509, 0.000000
1968.000000, 5.493164, 19.531250, 8.850098, 19.378662, 15.563965, 16.326904, 11.291504, 5.493164, 18.310547, 0.915527, 0.486486, 0.450240, -0.038211, -0.003937, 0.000000
2150.000000, 3.967285, 15.869141, 5.645752, 7.476807, 10.681152, 12.664795, 9.155273, 4.730225, 18.920898, 0.915527, 0.516667, 0.455776, -0.030180, -0.006124, 0.000000
2331.000000, 4.119873, 16.174316, 6.103516, 8.544922, 14.038086, 15.258789, 11.291504, 5.340576, 28.686523, 0.915527, 0.472973, 0.457099, 0.043694, -0.002292, 0.000000
2511.000000, 3.051758, 12.054443, 4.119873, 5.798340, 6.866455, 10.223389, 8.239746, 4.425049, 11.444092, 0.610352, 0.537037, 0.462808, -0.064064, -0.006704, 0.000000
2689.000000, 2.746582, 10.986328, 3.814697, 4.272461, 8.850098, 11.749268, 9.155273, 4.577637, 19.226074, 0.915527, 0.500000, 0.465288, 0.037037, -0.003788, 0.000000
2868.000000, 1.373291, 6.256104, 2.288818, 2.441406, 3.662109, 5.493164, 4.272461, 3.051758, 10.681152, 0.305176, 0.714286, 0.480850, -0.214286, -0.016944, 0.000000
3046.000000, 1.525879, 7.629395, 2.899170, 2.593994, 4.425049, 6.866455, 5.035400, 4.119873, 11.901855, 0.305176, 0.818182, 0.500693, -0.103896, -0.022059, 0.000000
3223.000000, 4.730225, 20.446777, 5.798340, 3.509521, 5.798340, 10.223389, 9.460449, 7.476807, 12.207031, 0.610352, 0.790323, 0.516784, 0.027859, -0.019286, 0.000000
3402.000000, 3.662109, 14.801025, 4.272461, 2.593994, 4.577637, 7.324219, 6.713867, 5.950928, 14.801025, 0.610352, 0.886364, 0.536235, -0.096041, -0.023325, 0.000000
3580.000000, 2.441406, 12.359619, 4.272461, 3.356934, 6.103516, 8.239746, 7.781982, 7.019043, 14.801025, 0.610352, 0.901961, 0.554522, -0.015597, -0.022939, 0.000000
3759.000000, 3.356934, 14.801025, 8.239746, 8.850098, 9.460449, 7.934570, 6.713867, 6.408691, 15.258789, 0.610352, 0.954545, 0.573570, -0.052585, -0.024351, 0.000000
3938.000000, 3.204346, 15.258789, 9.918213, 15.411377, 10.528564, 7.171631, 5.798340, 6.103516, 13.275146, 0.610352, 1.052632, 0.595346, -0.098086, -0.027702, 0.000000
4118.000000, 2.593994, 12.054443, 9.002686, 16.021729, 12.664795, 7.781982, 6.408691, 6.408691, 20.904541, 0.915527, 1.000000, 0.612939, 0.052632, -0.024209, 0.000000
4299.000000, 2.746582, 12.969971, 10.681152, 19.836426, 11.596680, 6.561279, 5.493164, 5.645752, 13.122559, 0.610352, 1.027778, 0.630224, -0.027778, -0.024358, 0.000000
4481.000000, 2.288818, 10.986328, 9.307861, 18.768311, 13.275146, 7.019043, 5.645752, 5.950928, 16.021729, 0.610352, 1.054054, 0.647178, -0.026276, -0.024435, 0.000000
4660.000000, 2.593994, 10.223389, 11.596680, 22.277832, 15.258789, 7.171631, 6.103516, 6.256104, 15.869141, 0.610352, 1.025000, 0.661709, 0.029054, -0.022378, 0.000000
4841.000000, 2.136230, 10.223389, 10.070801, 24.719238, 14.190674, 6.561279, 5.340576, 5.493164, 13.427734, 0.610352, 1.028571, 0.675297, -0.003572, -0.021681, 0.000000
5023.000000, 2.136230, 9.460449, 10.223389, 24.261475, 22.125244, 10.681152, 8.697510, 8.239746, 32.806396, 1.525879, 0.947368, 0.685014, 0.081203, -0.018007, 0.000000
5204.000000, 1.983643, 9.002686, 9.002686, 23.193359, 14.343262, 7.019043, 5.645752, 5.798340, 12.054443, 0.610352, 1.027027, 0.696807, -0.079659, -0.020133, 0.000000
5384.000000, 2.288818, 10.833740, 10.986328, 27.770996, 18.157959, 8.239746, 7.171631, 6.713867, 17.242432, 0.915527, 0.936170, 0.704786, 0.090857, -0.016433, 0.000000
5564.000000, 1.831055, 8.697510, 8.850098, 23.498535, 15.411377, 7.934570, 6.103516, 6.408691, 14.038086, 0.915527, 1.050000, 0.715922, -0.113830, -0.019575, 0.000000
5744.000000, 1.983643, 9.460449, 10.375977, 26.855469, 16.479492, 8.087158, 6.408691, 6.713867, 13.885498, 0.915527, 1.047619, 0.726287, 0.002381, -0.018889, 0.000000
5922.000000, 1.678467, 8.087158, 9.002686, 22.888184, 16.021729, 7.781982, 6.713867, 6.103516, 11.596680, 0.610352, 0.909091, 0.731827, 0.138528, -0.014118, 0.000000
