Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
157.000000, 5.187988, 18.310547, 8.392334, 18.920898, 20.904541, 17.089844, 12.817383, 5.645752, 42.724609, 1.525879, 0.440476, 0.440476, 0.000000, 0.000000, 0.000000
337.000000, 5.035400, 18.157959, 8.392334, 18.310547, 21.057129, 17.395020, 12.664795, 5.645752, 41.656494, 1.220703, 0.445783, 0.443130, -0.005307, -0.002653, 0.000000
518.000000, 5.187988, 18.157959, 8.392334, 18.920898, 21.514893, 17.547607, 13.122559, 5.798340, 43.182373, 1.525879, 0.441860, 0.442707, 0.003923, -0.000461, 0.000000
698.000000, 5.035400, 18.157959, 8.392334, 18.615723, 21.514893, 17.395020, 12.969971, 5.645752, 43.029785, 1.525879, 0.435294, 0.440853, 0.006566, 0.001296, 0.000000
878.000000, 5.187988, 18.310547, 8.392334, 18.920898, 20.904541, 17.089844, 12.664795, 5.645752, 41.961670, 1.525879, 0.445783, 0.441839, -0.010489, -0.001061, 0.000000
1060.000000, 5.187988, 18.310547, 8.544922, 19.073486, 21.362305, 17.395020, 12.969971, 5.645752, 43.334961, 1.525879, 0.435294, 0.440749, 0.010489, 0.000864, 0.000000
1241.000000, 5.035400, 18.005371, 8.392334, 18.463135, 21.057129, 17.395020, 12.664795, 5.645752, 41.961670, 1.220703, 0.445783, 0.441468, -0.010489, -0.000758, 0.000000
1424.000000, 5.187988, 18.310547, 8.392334, 18.920898, 21.514893, 17.395020, 13.122559, 5.645752, 43.334961, 1.525879, 0.430233, 0.440063, 0.015551, 0.001280, 0.000000
1605.000000, 4.882813, 18.157959, 8.392334, 18.615723, 21.362305, 17.395020, 12.969971, 5.645752, 42.572021, 1.525879, 0.435294, 0.439533, -0.005062, 0.000576, 0.000000
1784.000000, 5.187988, 18.310547, 8.392334, 18.920898, 21.209717, 17.395020, 12.817383, 5.645752, 42.419434, 1.525879, 0.440476, 0.439628, -0.005182, 0.000000, 0.000000
1965.000000, 3.509521, 14.343262, 6.256104, 11.444092, 25.787354, 22.125244, 16.784668, 7.476807, 49.743652, 1.831055, 0.445455, 0.440157, -0.004978, -0.000453, 0.000000
2149.000000, 6.256104, 22.888184, 9.613037, 19.531250, 19.836426, 22.125244, 16.479492, 8.239746, 32.043457, 1.220703, 0.500000, 0.445144, -0.054545, -0.004960, 0.000000
2330.000000, 4.119873, 14.953613, 5.187988, 7.629395, 8.850098, 12.054443, 9.460449, 4.730225, 14.190674, 0.610352, 0.500000, 0.449364, 0.000000, -0.004579, 0.000000
2509.000000, 5.035400, 17.700195, 7.019043, 12.359619, 6.866455, 7.934570, 6.561279, 3.204346, 14.190674, 0.610352, 0.488372, 0.452150, 0.011628, -0.003421, 0.000000
2688.000000, 3.662109, 13.275146, 4.119873, 4.730225, 10.833740, 10.986328, 8.697510, 3.967285, 28.533936, 0.915527, 0.456140, 0.452416, 0.032232, -0.001044, 0.000000
2867.000000, 1.678467, 7.171631, 2.441406, 2.899170, 4.730225, 6.256104, 5.187988, 2.746582, 14.343262, 0.610352, 0.529412, 0.457229, -0.073271, -0.005558, 0.000000
3046.000000, 1.678467, 9.307861, 2.593994, 2.288818, 3.051758, 4.425049, 3.509521, 2.593994, 9.460449, 0.305176, 0.739130, 0.473811, -0.209719, -0.017568, 0.000000
3223.000000, 1.525879, 8.087158, 2.288818, 1.678467, 4.425049, 9.460449, 7.324219, 6.408691, 9.460449, 0.610352, 0.875000, 0.496099, -0.135870, -0.024140, 0.000000
3398.000000, 4.425049, 18.310547, 3.356934, 1.373291, 1.983643, 4.272461, 3.967285, 3.356934, 8.087158, 0.305176, 0.846154, 0.514523, 0.028846, -0.021351, 0.000000
3571.000000, 4.272461, 20.141602, 5.645752, 3.509521, 3.051758, 4.882813, 4.272461, 4.119873, 10.070801, 0.305176, 0.964286, 0.537011, -0.118132, -0.026190, 0.000000
3749.000000, 3.662109, 18.768311, 7.781982, 7.781982, 7.019043, 7.171631, 6.103516, 5.950928, 12.207031, 0.610352, 0.975000, 0.557868, -0.010714, -0.025454, 0.000000
3926.000000, 3.051758, 15.411377, 8.850098, 10.528564, 8.697510, 6.713867, 5.493164, 5.645752, 12.054443, 0.610352, 1.027778, 0.579228, -0.052778, -0.026696, 0.000000
4106.000000, 2.593994, 13.427734, 9.002686, 14.343262, 5.798340, 5.950928, 5.187988, 5.187988, 9.155273, 0.610352, 1.000000, 0.597522, 0.027778, -0.024327, 0.000000
4284.000000, 2.593994, 14.190674, 9.307861, 17.700195, 13.275146, 7.476807, 6.103516, 5.798340, 16.479492, 0.915527, 0.950000, 0.612209, 0.050000, -0.021230, 0.000000
4464.000000, 2.746582, 12.207031, 10.833740, 21.057129, 14.038086, 7.324219, 5.340576, 5.493164, 17.242432, 0.915527, 1.028571, 0.628863, -0.078571, -0.023524, 0.000000
4646.000000, 2.441406, 14.495850, 9.460449, 25.787354, 13.732910, 6.408691, 5.187988, 5.035400, 17.089844, 0.915527, 0.970588, 0.642006, 0.057983, -0.020389, 0.000000
4825.000000, 2.288818, 9.765625, 8.697510, 22.430420, 13.122559, 6.561279, 4.882813, 5.035400, 17.700195, 0.915527, 1.031250, 0.656423, -0.060662, -0.021881, 0.000000
5006.000000, 2.593994, 12.817383, 10.681152, 24.414063, 12.207031, 5.950928, 4.882813, 4.272461, 17.547607, 0.915527, 0.875000, 0.664229, 0.156250, -0.015519, 0.000000
5187.000000, 2.288818, 11.138916, 9.765625, 25.329590, 15.716553, 7.934570, 5.645752, 6.256104, 13.122559, 0.610352, 1.108108, 0.679535, -0.233108, -0.023022, 0.000000
5366.000000, 1.983643, 10.070801, 10.528564, 24.566650, 14.495850, 6.713867, 5.187988, 5.340576, 13.580322, 0.610352, 1.029412, 0.691198, 0.078696, -0.019631, 0.000000
5545.000000, 2.288818, 10.375977, 10.528564, 24.871826, 17.395020, 7.934570, 6.561279, 6.561279, 15.106201, 0.915527, 1.000000, 0.701159, 0.029412, -0.018049, 0.000000
5726.000000, 1.831055, 9.307861, 9.765625, 23.498535, 15.869141, 7.781982, 5.950928, 6.256104, 12.207031, 0.610352, 1.051282, 0.712101, -0.051282, -0.019088, 0.000000
5905.000000, 1.678467, 8.697510, 8.850098, 23.956299, 15.411377, 7.324219, 5.798340, 5.950928, 13.580322, 0.610352, 1.026316, 0.721622, 0.024966, -0.017753, 0.000000
6082.000000, 2.136230, 10.528564, 10.070801, 25.787354, 17.852783, 9.613037, 7.781982, 7.934570, 20.599365, 0.915527, 1.019608, 0.730386, 0.006708, -0.017033, 0.000000
6262.000000, 1.983643, 10.070801, 9.307861, 24.261475, 19.226074, 11.291504, 8.239746, 8.850098, 28.228760, 1.220703, 1.074074, 0.740206, -0.054466, -0.018103, 0.000000
6442.000000, 1.678467, 8.392334, 8.087158, 22.125244, 16.479492, 8.392334, 6.866455, 6.713867, 14.190674, 0.915527, 0.977778, 0.746805, 0.096296, -0.014925, 0.000000
6620.000000, 1.678467, 7.934570, 8.087158, 21.820068, 15.106201, 8.544922, 6.561279, 6.256104, 12.969971, 0.610352, 0.953488, 0.752391, 0.024289, -0.013865, 0.000000
6799.000000, 1.525879, 8.087158, 7.781982, 23.345947, 17.089844, 8.850098, 7.019043, 6.866455, 14.495850, 0.915527, 0.978261, 0.758335, -0.024773, -0.014152, 0.000000
6978.000000, 1.678467, 8.239746, 8.392334, 23.803711, 16.937256, 9.002686, 7.171631, 6.561279, 12.207031, 0.610352, 0.914894, 0.762350, 0.063367, -0.012165, 0.000000
7157.000000, 1.831055, 8.392334, 8.697510, 23.498535, 17.395020, 11.444092, 8.697510, 8.392334, 18.615723, 0.915527, 0.964912, 0.767414, -0.050019, -0.013111, 0.000000
7338.000000, 1.831055, 9.155273, 8.239746, 20.141602, 12.817383, 8.544922, 7.171631, 6.408691, 8.697510, 0.610352, 0.893617, 0.770492, 0.071295, -0.011052, 0.000000
7515.000000, 1.373291, 7.171631, 6.408691, 17.852783, 14.343262, 9.155273, 7.476807, 6.866455, 13.427734, 0.915527, 0.918367, 0.774013, -0.024750, -0.011378, 0.000000
7695.000000, 1.373291, 6.866455, 7.019043, 18.615723, 15.869141, 9.613037, 7.781982, 7.019043, 12.359619, 0.915527, 0.901961, 0.776988, 0.016407, -0.010732, 0.000000
7873.000000, 1.373291, 6.103516, 6.713867, 18.310547, 16.174316, 9.918213, 7.934570, 7.476807, 14.801025, 0.915527, 0.942308, 0.780745, -0.040347, -0.011405, 0.000000
8053.000000, 1.220703, 6.103516, 6.561279, 19.226074, 15.563965, 9.155273, 7.629395, 6.713867, 10.681152, 0.610352, 0.880000, 0.782951, 0.062308, -0.009767, 0.000000
8232.000000, 1.373291, 6.256104, 7.171631, 19.989014, 17.242432, 9.918213, 8.239746, 7.171631, 12.207031, 0.915527, 0.870370, 0.784851, 0.009630, -0.009346, 0.000000
8409.000000, 1.373291, 5.950928, 6.713867, 19.531250, 16.784668, 10.070801, 8.239746, 7.171631, 12.512207, 0.915527, 0.870370, 0.786671, 0.000000, -0.009147, 0.000000
8589.000000, 1.373291, 6.561279, 6.866455, 22.888184, 17.242432, 10.986328, 9.002686, 8.087158, 12.512207, 0.915527, 0.898305, 0.788997, -0.027935, -0.009538, 0.000000
8770.000000, 1.220703, 5.645752, 6.256104, 19.073486, 16.479492, 10.223389, 8.392334, 7.324219, 12.359619, 0.915527, 0.872727, 0.790705, 0.025578, -0.008821, 0.000000
8948.000000, 1.373291, 6.713867, 6.408691, 23.651123, 18.463135, 12.359619, 9.307861, 8.087158, 12.207031, 0.610352, 0.868852, 0.792268, 0.003875, -0.008568, 0.000000
9128.000000, 1.220703, 5.645752, 5.950928, 20.141602, 17.395020, 11.749268, 9.155273, 7.629395, 12.512207, 0.915527, 0.833333, 0.793074, 0.035519, -0.007703, 0.000000
9306.000000, 1.373291, 5.645752, 6.103516, 20.294189, 18.768311, 12.207031, 9.918213, 8.087158, 12.054443, 0.915527, 0.815385, 0.793503, 0.017949, -0.007210, 0.000000
9485.000000, 1.220703, 5.340576, 5.798340, 19.683838, 18.005371, 11.901855, 9.460449, 7.629395, 13.580322, 0.915527, 0.806452, 0.793747, 0.008933, -0.006905, 0.000000
9665.000000, 1.373291, 5.645752, 6.256104, 19.989014, 19.531250, 13.275146, 10.833740, 8.544922, 12.359619, 0.915527, 0.788732, 0.793654, 0.017719, -0.006449, 0.000000
9846.000000, 1.373291, 5.493164, 6.408691, 19.226074, 20.599365, 13.275146, 11.291504, 8.544922, 13.580322, 1.220703, 0.756757, 0.792983, 0.031976, -0.005751, 0.000000
10024.000000, 1.525879, 5.645752, 6.713867, 20.141602, 21.057129, 13.885498, 11.444092, 8.544922, 13.580322, 0.915527, 0.746667, 0.792156, 0.010090, -0.005468, 0.000000
10205.000000, 1.373291, 5.798340, 6.713867, 20.294189, 20.599365, 14.648438, 11.596680, 9.155273, 12.512207, 0.915527, 0.789474, 0.792109, -0.042807, -0.006123, 0.000000
10389.000000, 1.373291, 5.187988, 6.408691, 18.463135, 19.683838, 14.190674, 11.138916, 9.002686, 13.427734, 0.915527, 0.808219, 0.792387, -0.018745, -0.006340, 0.000000
10572.000000, 1.373291, 5.493164, 6.561279, 20.751953, 21.362305, 14.801025, 12.664795, 9.460449, 14.190674, 0.915527, 0.746988, 0.791617, 0.061231, -0.005195, 0.000000
10752.000000, 1.373291, 5.645752, 6.103516, 20.904541, 19.989014, 15.258789, 11.596680, 9.307861, 13.580322, 0.915527, 0.802632, 0.791801, -0.055644, -0.006036, 0.000000
10936.000000, 1.373291, 5.187988, 5.798340, 19.378662, 19.836426, 14.343262, 11.749268, 8.697510, 13.122559, 0.915527, 0.740260, 0.790956, 0.062372, -0.004914, 0.000000
11117.000000, 1.373291, 5.340576, 6.103516, 20.294189, 21.362305, 16.021729, 12.817383, 9.765625, 13.580322, 0.915527, 0.761905, 0.790487, -0.021645, -0.005184, 0.000000
11300.000000, 1.373291, 5.187988, 5.950928, 19.531250, 20.751953, 15.563965, 12.359619, 9.307861, 13.275146, 1.220703, 0.753086, 0.789894, 0.008818, -0.004962, 0.000000
11480.000000, 1.373291, 4.882813, 5.798340, 19.378662, 22.277832, 16.632080, 13.580322, 9.765625, 13.732910, 0.915527, 0.719101, 0.788788, 0.033985, -0.004354, 0.000000
11663.000000, 1.373291, 5.187988, 5.493164, 19.836426, 22.277832, 17.089844, 13.580322, 9.918213, 13.427734, 0.915527, 0.730337, 0.787888, -0.011236, -0.004459, 0.000000
11846.000000, 1.373291, 5.187988, 5.950928, 19.531250, 21.820068, 16.632080, 13.732910, 9.765625, 13.885498, 0.915527, 0.711111, 0.792052, 0.019226, -0.004164, 0.000000
12026.000000, 1.373291, 5.187988, 5.950928, 20.599365, 23.040771, 18.005371, 14.648438, 10.528564, 13.427734, 0.915527, 0.718750, 0.796251, -0.007639, -0.004199, 0.000000
12208.000000, 1.373291, 5.340576, 6.103516, 20.904541, 23.345947, 18.615723, 14.953613, 10.681152, 14.190674, 1.220703, 0.714286, 0.800443, 0.004464, -0.004191, 0.000000
12392.000000, 1.525879, 5.035400, 5.950928, 19.073486, 22.430420, 18.005371, 14.495850, 10.223389, 13.732910, 0.915527, 0.705263, 0.804596, 0.009023, -0.004153, 0.000000
12575.000000, 1.373291, 4.730225, 5.493164, 18.310547, 22.583008, 17.700195, 14.953613, 9.918213, 14.190674, 0.915527, 0.663265, 0.807942, 0.041998, -0.003346, 0.000000
12755.000000, 1.525879, 5.340576, 5.950928, 20.751953, 23.651123, 19.989014, 15.716553, 10.986328, 13.885498, 1.220703, 0.699029, 0.811999, -0.035764, -0.004057, 0.000000
12939.000000, 1.373291, 4.730225, 5.798340, 18.920898, 23.040771, 19.226074, 15.411377, 10.681152, 14.495850, 1.220703, 0.693069, 0.815804, 0.005960, -0.003804, 0.000000
