Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
156.000000, 5.035400, 19.378662, 15.106201, 18.768311, 31.433105, 19.683838, 21.972656, 6.866455, 26.245117, 1.220703, 0.312500, 0.312500, 0.000000, 0.000000, 0.000000
336.000000, 5.035400, 19.226074, 14.495850, 18.615723, 32.653809, 19.989014, 22.735596, 7.171631, 26.245117, 1.220703, 0.315436, 0.313968, -0.002936, -0.001468, 0.000000
519.000000, 4.730225, 18.768311, 13.580322, 18.463135, 28.839111, 19.073486, 19.989014, 6.866455, 25.024414, 1.220703, 0.343511, 0.323816, -0.028075, -0.010337, 0.000000
700.000000, 4.882813, 19.073486, 14.038086, 18.463135, 31.890869, 19.836426, 22.277832, 7.019043, 26.245117, 1.220703, 0.315068, 0.321629, 0.028443, -0.000642, 0.000000
880.000000, 4.730225, 18.615723, 12.969971, 18.310547, 30.212402, 19.226074, 20.904541, 6.866455, 25.787354, 1.220703, 0.328467, 0.322997, -0.013399, -0.003193, 0.000000
1063.000000, 5.035400, 19.226074, 14.648438, 18.615723, 30.670166, 19.531250, 21.209717, 7.019043, 25.634766, 1.220703, 0.330935, 0.324320, -0.002468, -0.003073, 0.000000
1245.000000, 4.730225, 18.615723, 13.275146, 18.310547, 30.517578, 19.531250, 21.057129, 6.866455, 25.939941, 1.220703, 0.326087, 0.324572, 0.004848, -0.001941, 0.000000
1429.000000, 4.882813, 18.920898, 14.038086, 18.463135, 30.670166, 19.531250, 21.209717, 6.866455, 25.787354, 1.220703, 0.323741, 0.324468, 0.002346, -0.001405, 0.000000
1610.000000, 4.730225, 18.768311, 13.885498, 18.463135, 30.670166, 19.683838, 21.057129, 7.019043, 26.245117, 1.220703, 0.333333, 0.325453, -0.009592, -0.002315, 0.000000
1792.000000, 4.882813, 18.920898, 13.732910, 18.463135, 29.907227, 19.378662, 20.599365, 6.866455, 25.482178, 1.220703, 0.333333, 0.326241, 0.000000, -0.002083, 0.000000
1975.000000, 4.119873, 18.463135, 8.239746, 14.953613, 14.038086, 15.563965, 11.444092, 5.645752, 13.427734, 0.915527, 0.493333, 0.341431, -0.160000, -0.016439, 0.000000
2159.000000, 4.119873, 16.479492, 7.324219, 13.427734, 16.326904, 16.784668, 12.817383, 5.950928, 30.059814, 1.220703, 0.464286, 0.351669, 0.029048, -0.012649, 0.000000
2341.000000, 4.577637, 16.937256, 6.866455, 8.697510, 12.969971, 13.275146, 11.444092, 4.882813, 23.803711, 0.915527, 0.426667, 0.357438, 0.037619, -0.008782, 0.000000
2520.000000, 2.899170, 12.512207, 4.730225, 6.561279, 5.645752, 7.629395, 7.019043, 3.204346, 19.073486, 0.610352, 0.456522, 0.364516, -0.029855, -0.010287, 0.000000
2697.000000, 2.136230, 10.833740, 3.509521, 2.746582, 5.187988, 8.544922, 6.713867, 3.967285, 25.787354, 1.220703, 0.590909, 0.379609, -0.134387, -0.018561, 0.000000
2877.000000, 1.678467, 8.850098, 2.746582, 1.220703, 4.577637, 10.833740, 10.070801, 6.408691, 27.923584, 1.220703, 0.636364, 0.395656, -0.045455, -0.020241, 0.000000
3056.000000, 3.814697, 17.547607, 3.051758, 1.068115, 1.525879, 3.662109, 3.967285, 2.593994, 13.427734, 0.610352, 0.653846, 0.410844, -0.017483, -0.020079, 0.000000
3234.000000, 2.593994, 12.054443, 2.288818, 0.762939, 2.136230, 5.187988, 5.493164, 3.967285, 9.307861, 0.610352, 0.722222, 0.428142, -0.068376, -0.022762, 0.000000
3410.000000, 1.678467, 8.697510, 1.373291, 0.305176, 0.915527, 2.441406, 2.899170, 2.288818, 6.408691, 0.305176, 0.789474, 0.447160, -0.067252, -0.025104, 0.000000
3586.000000, 1.525879, 8.239746, 1.831055, 0.610352, 1.220703, 2.136230, 2.441406, 2.288818, 5.493164, 0.305176, 0.937500, 0.471677, -0.148026, -0.031250, 0.000000
3763.000000, 1.068115, 5.493164, 2.136230, 0.762939, 1.068115, 1.525879, 1.678467, 1.678467, 4.272461, 0.305176, 1.000000, 0.496835, -0.062500, -0.032738, 0.000000
3940.000000, 0.762939, 5.645752, 2.136230, 1.831055, 1.525879, 1.373291, 1.525879, 1.678467, 4.882813, 0.305176, 1.100000, 0.524252, -0.100000, -0.035795, 0.000000
4117.000000, 0.457764, 3.204346, 1.678467, 1.678467, 1.525879, 0.915527, 1.220703, 1.373291, 4.119873, 0.305176, 1.125000, 0.550371, -0.025000, -0.035326, 0.000000
4294.000000, 0.610352, 5.035400, 2.899170, 4.425049, 2.136230, 1.220703, 1.220703, 1.373291, 4.272461, 0.305176, 1.125000, 0.574314, 0.000000, -0.033854, 0.000000
4468.000000, 0.610352, 3.356934, 2.899170, 5.035400, 3.662109, 1.220703, 1.525879, 1.525879, 4.425049, 0.305176, 1.000000, 0.591341, 0.125000, -0.027500, 0.000000
4643.000000, 0.610352, 3.204346, 3.509521, 5.798340, 4.272461, 1.220703, 1.678467, 1.678467, 8.392334, 0.610352, 1.000000, 0.607059, 0.000000, -0.026442, 0.000000
4817.000000, 0.915527, 4.577637, 4.425049, 9.155273, 4.119873, 1.220703, 1.678467, 1.373291, 4.272461, 0.305176, 0.818182, 0.614878, 0.181818, -0.018729, 0.000000
4991.000000, 0.610352, 3.356934, 3.356934, 7.324219, 3.509521, 1.525879, 1.373291, 1.831055, 4.272461, 0.305176, 1.333333, 0.640538, -0.515152, -0.036458, 0.000000
5168.000000, 0.610352, 3.356934, 3.662109, 8.239746, 4.425049, 1.068115, 1.678467, 1.220703, 5.950928, 0.610352, 0.727273, 0.643528, 0.606061, -0.014303, 0.000000
5343.000000, 0.457764, 3.204346, 3.051758, 8.544922, 4.577637, 1.220703, 1.525879, 1.525879, 5.187988, 0.305176, 1.000000, 0.655411, -0.272727, -0.022917, 0.000000
5518.000000, 0.610352, 2.593994, 2.899170, 8.087158, 5.187988, 1.373291, 1.678467, 1.525879, 7.781982, 0.915527, 0.909091, 0.663594, 0.090909, -0.019245, 0.000000
5695.000000, 0.610352, 2.593994, 3.204346, 8.544922, 5.645752, 1.831055, 1.983643, 1.831055, 9.613037, 0.610352, 0.923077, 0.671703, -0.013986, -0.019081, 0.000000
5872.000000, 0.457764, 1.983643, 2.288818, 6.561279, 5.035400, 1.525879, 1.525879, 1.525879, 8.087158, 0.610352, 1.000000, 0.681651, -0.076923, -0.020833, 0.000000
6045.000000, 0.457764, 2.136230, 2.593994, 7.629395, 5.187988, 1.831055, 1.678467, 1.678467, 7.476807, 0.610352, 1.000000, 0.691014, 0.000000, -0.020221, 0.000000
6219.000000, 0.305176, 1.525879, 1.831055, 5.645752, 3.814697, 1.068115, 1.373291, 1.220703, 8.087158, 0.610352, 0.888889, 0.696668, 0.111111, -0.016468, 0.000000
6393.000000, 0.457764, 2.746582, 2.441406, 7.781982, 5.340576, 1.983643, 1.983643, 1.983643, 8.392334, 0.610352, 1.000000, 0.705094, -0.111111, -0.019097, 0.000000
6570.000000, 0.457764, 2.593994, 2.746582, 7.476807, 6.103516, 2.136230, 2.746582, 1.983643, 3.814697, 0.305176, 0.722222, 0.705557, 0.277778, -0.011074, 0.000000
6743.000000, 0.305176, 1.678467, 2.288818, 5.493164, 5.493164, 1.831055, 1.983643, 1.678467, 8.544922, 0.610352, 0.846154, 0.709257, -0.123932, -0.014044, 0.000000
6918.000000, 0.457764, 2.441406, 2.899170, 9.155273, 7.019043, 2.288818, 2.441406, 1.983643, 8.087158, 0.915527, 0.812500, 0.711904, 0.033654, -0.012821, 0.000000
7093.000000, 0.305176, 2.136230, 2.136230, 8.087158, 5.798340, 2.288818, 2.136230, 2.136230, 9.155273, 0.915527, 1.000000, 0.719106, -0.187500, -0.017188, 0.000000
7271.000000, 0.457764, 2.593994, 2.899170, 9.002686, 7.171631, 2.899170, 2.899170, 2.441406, 6.713867, 0.610352, 0.842105, 0.722106, 0.157895, -0.012917, 0.000000
7444.000000, 0.457764, 2.441406, 3.051758, 8.697510, 7.629395, 2.746582, 3.356934, 2.288818, 7.019043, 0.610352, 0.681818, 0.721147, 0.160287, -0.008793, 0.000000
7619.000000, 0.610352, 3.204346, 3.204346, 11.138916, 7.934570, 3.356934, 3.051758, 2.593994, 7.476807, 0.610352, 0.850000, 0.724144, -0.168182, -0.012500, 0.000000
7795.000000, 0.610352, 2.288818, 2.746582, 9.155273, 8.392334, 3.356934, 3.509521, 2.746582, 7.324219, 0.610352, 0.782609, 0.725472, 0.067391, -0.010684, 0.000000
7971.000000, 0.610352, 3.051758, 3.204346, 11.291504, 9.918213, 3.967285, 4.119873, 3.051758, 7.629395, 0.610352, 0.740741, 0.725812, 0.041868, -0.009516, 0.000000
8148.000000, 0.457764, 2.441406, 2.746582, 9.765625, 8.087158, 3.356934, 3.356934, 2.746582, 7.324219, 0.610352, 0.818182, 0.727820, -0.077441, -0.010993, 0.000000
8324.000000, 0.610352, 2.899170, 2.746582, 11.596680, 8.544922, 3.967285, 3.662109, 3.051758, 7.476807, 0.610352, 0.833333, 0.730065, -0.015152, -0.011082, 0.000000
8502.000000, 0.610352, 2.593994, 2.746582, 10.070801, 9.307861, 3.662109, 3.967285, 2.899170, 7.781982, 0.610352, 0.730769, 0.730079, 0.102564, -0.008714, 0.000000
8680.000000, 0.610352, 2.136230, 2.441406, 9.307861, 8.239746, 3.662109, 3.662109, 2.746582, 8.544922, 0.610352, 0.750000, 0.730486, -0.019231, -0.008929, 0.000000
8855.000000, 0.457764, 2.288818, 2.593994, 8.850098, 9.155273, 4.272461, 4.272461, 2.899170, 7.476807, 0.610352, 0.678571, 0.729448, 0.071429, -0.007321, 0.000000
9027.000000, 0.457764, 2.593994, 2.441406, 11.291504, 7.934570, 3.662109, 4.119873, 2.746582, 9.002686, 0.610352, 0.666667, 0.728217, 0.011905, -0.006944, 0.000000
9203.000000, 0.457764, 2.288818, 2.288818, 9.460449, 7.934570, 3.814697, 4.119873, 2.746582, 9.002686, 0.915527, 0.666667, 0.727033, 0.000000, -0.006811, 0.000000
9377.000000, 0.305176, 2.899170, 2.136230, 10.223389, 8.392334, 4.272461, 3.814697, 2.746582, 7.781982, 0.610352, 0.720000, 0.726900, -0.053333, -0.007689, 0.000000
9553.000000, 0.610352, 2.899170, 2.441406, 11.291504, 9.002686, 4.425049, 5.035400, 3.051758, 7.781982, 0.915527, 0.606061, 0.724662, 0.113939, -0.005436, 0.000000
9728.000000, 0.457764, 1.220703, 2.441406, 5.798340, 7.781982, 4.425049, 4.119873, 2.746582, 8.850098, 0.610352, 0.666667, 0.723608, -0.060606, -0.006439, 0.000000
