26.550293, 37.994385, 1.831055, 0.753247, 0.834545, 0.011730, -0.004097, 0.000000
11337.000000, 3.509521, 9.460449, 12.247803, 26.550293, 37.994385, 1.831055, 0.753247, 0.834545, 0.011730, -0.004097, 0.000000
11337.000000, 3.509521, 9.460449, 12.247803, 26.550293, 37.994385, 1.831055, 0.753247, 0.834545, 0.011730, -0.004097, 0.000000
11337.000000, 3.509521, 9.460449, 12.Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
156.000000, 3.509521, 9.613037, 12.054443, 40.283203, 43.029785, 39.215088, 40.283203, 27.923584, 34.942627, 1.831055, 0.693182, 0.693182, 0.000000, 0.000000, 0.000000
336.000000, 3.662109, 9.460449, 12.359619, 39.520264, 43.487549, 40.893555, 40.588379, 29.296875, 36.010742, 1.831055, 0.721804, 0.707493, -0.028623, -0.014311, 0.000000
518.000000, 3.356934, 8.392334, 11.596680, 34.942627, 41.809082, 37.536621, 39.062500, 27.313232, 34.942627, 1.831055, 0.699219, 0.704735, 0.022586, -0.002012, 0.000000
700.000000, 3.509521, 8.697510, 11.901855, 37.536621, 42.419434, 39.215088, 40.588379, 28.228760, 36.010742, 1.831055, 0.695489, 0.702423, 0.003730, -0.000577, 0.000000
882.000000, 3.356934, 8.392334, 11.444092, 35.552979, 42.877197, 38.909912, 40.588379, 27.465820, 35.552979, 1.831055, 0.676692, 0.697277, 0.018797, 0.003298, 0.000000
1061.000000, 3.509521, 8.239746, 11.749268, 35.247803, 43.792725, 38.757324, 40.893555, 28.076172, 36.468506, 2.136230, 0.686567, 0.695492, -0.009875, 0.001102, 0.000000
1244.000000, 3.356934, 7.934570, 11.138916, 34.484863, 40.740967, 37.994385, 40.283203, 27.618408, 34.790039, 2.136230, 0.685606, 0.694080, 0.000961, 0.001082, 0.000000
1426.000000, 3.356934, 7.934570, 11.291504, 34.637451, 42.114258, 38.146973, 41.503906, 27.465820, 35.552979, 1.831055, 0.661765, 0.690040, 0.023841, 0.003927, 0.000000
1606.000000, 3.509521, 7.629395, 11.291504, 32.653809, 41.809082, 37.689209, 40.740967, 27.313232, 34.790039, 1.831055, 0.670412, 0.687859, -0.008647, 0.002530, 0.000000
1789.000000, 3.509521, 8.087158, 11.444092, 34.637451, 42.877197, 39.672852, 43.792725, 29.449463, 36.010742, 2.136230, 0.672474, 0.686321, -0.002062, 0.002071, 0.000000
