Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
5987.000000, 3.356934, 20.446777, 18.768311, 58.746338, 37.689209, 23.956299, 13.732910, 20.446777, 16.937256, 0.915527, 1.488889, 0.939929, -0.000517, -0.031309, 0.000000
6173.000000, 2.899170, 17.700195, 16.479492, 53.405762, 37.994385, 26.550293, 15.869141, 20.751953, 16.784668, 0.915527, 1.307692, 0.950745, 0.181197, -0.025059, 0.000000
6355.000000, 3.356934, 17.089844, 15.411377, 52.795410, 43.487549, 28.381348, 15.563965, 23.040771, 15.563965, 0.915527, 1.480392, 0.965878, -0.172700, -0.029277, 0.000000
6540.000000, 3.662109, 22.125244, 18.920898, 57.373047, 39.672852, 34.179688, 17.852783, 24.414063, 14.953613, 0.915527, 1.367521, 0.977035, 0.112871, -0.025328, 0.000000
6723.000000, 3.204346, 20.599365, 16.021729, 51.727295, 47.149658, 35.705566, 22.583008, 27.770996, 30.364990, 1.525879, 1.229730, 0.983864, 0.137792, -0.020920, 0.000000
6907.000000, 3.356934, 19.836426, 16.174316, 50.964355, 41.656494, 33.874512, 20.751953, 24.108887, 15.106201, 0.915527, 1.161765, 0.988546, 0.067965, -0.018581, 0.000000
7088.000000, 3.204346, 20.141602, 15.869141, 50.354004, 38.299561, 35.247803, 18.310547, 25.939941, 15.411377, 0.915527, 1.416667, 0.999524, -0.254902, -0.024640, 0.000000
7270.000000, 3.051758, 18.005371, 14.953613, 52.490234, 40.283203, 34.484863, 18.310547, 24.871826, 16.326904, 0.915527, 1.358333, 1.008494, 0.058333, -0.022566, 0.000000
7455.000000, 2.899170, 18.005371, 14.343262, 53.405762, 42.419434, 32.806396, 20.141602, 23.498535, 17.089844, 1.220703, 1.166667, 1.012352, 0.191667, -0.017341, 0.000000
7637.000000, 3.356934, 18.463135, 15.563965, 54.016113, 43.792725, 36.163330, 20.446777, 25.329590, 18.005371, 1.220703, 1.238806, 1.017743, -0.072139, -0.018645, 0.000000
7820.000000, 3.356934, 19.226074, 16.479492, 56.610107, 46.691895, 39.215088, 22.277832, 26.702881, 18.005371, 1.220703, 1.198630, 1.021950, 0.040176, -0.017278, 0.000000
8004.000000, 3.204346, 17.700195, 15.106201, 56.304932, 44.555664, 37.536621, 22.888184, 25.177002, 18.615723, 1.220703, 1.100000, 1.023724, 0.098630, -0.014643, 0.000000
8187.000000, 3.051758, 16.174316, 14.801025, 52.185059, 44.555664, 37.994385, 22.583008, 26.702881, 17.089844, 0.915527, 1.182432, 1.027251, -0.082432, -0.016150, 0.000000
8372.000000, 3.204346, 16.784668, 14.953613, 54.626465, 45.318604, 39.062500, 23.803711, 28.076172, 21.972656, 1.220703, 1.179487, 1.030560, 0.002945, -0.015735, 0.000000
8557.000000, 3.051758, 16.937256, 14.801025, 55.999756, 44.250488, 39.672852, 23.498535, 27.008057, 17.395020, 1.220703, 1.149351, 1.033088, 0.030137, -0.014759, 0.000000
8738.000000, 3.204346, 17.547607, 15.258789, 55.084229, 47.302246, 43.640137, 26.092529, 29.296875, 19.531250, 1.220703, 1.122807, 1.034957, 0.026544, -0.013898, 0.000000
8922.000000, 3.356934, 17.395020, 14.953613, 54.016113, 49.896240, 46.081543, 28.076172, 29.602051, 19.531250, 1.220703, 1.054348, 1.035353, 0.068459, -0.012217, 0.000000
9105.000000, 3.509521, 17.395020, 14.953613, 55.389404, 48.675537, 47.302246, 27.923584, 30.822754, 21.057129, 1.220703, 1.103825, 1.036722, -0.049477, -0.012963, 0.000000
9291.000000, 3.204346, 16.937256, 13.885498, 54.626465, 50.048828, 49.438477, 28.533936, 31.127930, 18.768311, 1.220703, 1.090909, 1.037785, 0.012916, -0.012455, 0.000000
9475.000000, 3.356934, 16.479492, 14.495850, 52.490234, 48.980713, 49.438477, 29.449463, 30.822754, 20.599365, 1.220703, 1.046632, 1.037955, 0.044277, -0.011364, 0.000000
9659.000000, 3.204346, 16.326904, 14.190674, 53.558350, 50.811768, 50.048828, 30.670166, 31.127930, 21.820068, 1.525879, 1.014925, 1.037520, 0.031707, -0.010551, 0.000000
9842.000000, 3.509521, 18.005371, 14.801025, 55.236816, 54.779053, 55.541992, 33.264160, 35.552979, 21.820068, 1.525879, 1.068807, 1.038100, -0.053882, -0.011354, 0.000000
10025.000000, 3.509521, 17.395020, 14.648438, 54.321289, 55.236816, 57.983398, 34.332275, 34.637451, 20.446777, 1.525879, 1.008889, 1.037568, 0.059919, -0.010058, 0.000000
10210.000000, 3.356934, 16.632080, 13.885498, 54.626465, 52.032471, 57.373047, 33.874512, 34.179688, 22.583008, 1.525879, 1.009009, 1.037058, -0.000120, -0.009881, 0.000000
10397.000000, 3.814697, 18.463135, 14.953613, 55.389404, 56.915283, 63.018799, 37.231445, 38.146973, 20.141602, 1.373291, 1.024590, 1.036840, -0.015581, -0.009981, 0.000000
10581.000000, 3.509521, 16.479492, 13.732910, 52.947998, 53.100586, 59.814453, 35.247803, 35.858154, 20.141602, 1.220703, 1.017316, 1.036503, 0.007274, -0.009683, 0.000000
10765.000000, 3.356934, 15.563965, 12.969971, 51.727295, 51.116943, 58.135986, 34.179688, 34.484863, 20.751953, 1.220703, 1.008929, 1.036036, 0.008387, -0.009377, 0.000000
10950.000000, 3.509521, 16.174316, 13.732910, 50.354004, 53.100586, 60.424805, 34.790039, 36.773682, 22.583008, 1.525879, 1.057018, 1.036385, -0.048089, -0.010022, 0.000000
11135.000000, 3.662109, 16.479492, 14.038086, 52.795410, 57.830811, 63.781738, 38.452148, 38.299561, 23.345947, 1.525879, 0.996032, 1.035724, 0.060986, -0.008858, 0.000000
11318.000000, 3.662109, 16.174316, 13.885498, 53.558350, 55.541992, 62.866211, 37.689209, 37.994385, 22.277832, 1.220703, 1.008097, 1.035278, -0.012065, -0.008910, 0.000000
11503.000000, 3.662109, 15.869141, 13.427734, 50.659180, 54.016113, 62.713623, 36.621094, 36.621094, 23.345947, 1.525879, 1.000000, 1.034718, 0.008097, -0.008640, 0.000000
11688.000000, 3.662109, 15.869141, 13.580322, 53.405762, 55.999756, 64.697266, 38.909912, 38.146973, 23.040771, 1.525879, 0.980392, 1.033870, 0.019608, -0.008198, 0.000000
11872.000000, 3.662109, 15.869141, 13.580322, 52.947998, 58.898926, 68.511963, 41.046143, 39.062500, 21.972656, 1.525879, 0.951673, 1.032605, 0.028719, -0.007630, 0.000000
12056.000000, 3.662109, 15.563965, 13.732910, 50.506592, 58.135986, 67.138672, 41.809082, 38.757324, 22.735596, 1.831055, 0.927007, 1.039856, 0.024666, -0.007251, 0.000000
12239.000000, 3.662109, 15.563965, 13.580322, 51.422119, 58.593750, 67.138672, 42.419434, 38.757324, 22.735596, 1.831055, 0.913669, 1.046683, 0.013338, -0.006828, 0.000000
12424.000000, 3.509521, 15.258789, 12.512207, 50.659180, 55.084229, 67.901611, 41.503906, 38.909912, 23.956299, 1.831055, 0.937500, 1.054079, -0.023831, -0.007396, 0.000000
12611.000000, 3.509521, 15.106201, 12.664795, 50.964355, 58.135986, 68.359375, 43.487549, 39.215088, 23.193359, 1.831055, 0.901754, 1.060941, 0.035746, -0.006862, 0.000000
12796.000000, 3.662109, 15.258789, 13.275146, 51.269531, 59.814453, 70.037842, 44.708252, 39.825439, 23.193359, 1.525879, 0.890785, 1.067406, 0.010969, -0.006465, 0.000000
12979.000000, 3.662109, 15.106201, 13.427734, 51.727295, 61.187744, 71.868896, 45.928955, 40.893555, 23.345947, 1.831055, 0.890365, 1.074093, 0.000420, -0.006687, 0.000000
13163.000000, 3.662109, 15.411377, 13.122559, 52.185059, 59.967041, 74.768066, 45.623779, 42.572021, 23.345947, 1.525879, 0.933110, 1.081209, -0.042745, -0.007116, 0.000000
13346.000000, 3.662109, 15.106201, 12.817383, 53.100586, 60.577393, 75.378418, 47.302246, 41.656494, 23.040771, 1.831055, 0.880645, 1.087747, 0.052465, -0.006538, 0.000000
13531.000000, 3.814697, 14.801025, 13.122559, 50.811768, 61.035156, 75.988770, 46.844482, 42.572021, 22.888184, 1.831055, 0.908795, 1.094701, -0.028150, -0.006954, 0.000000
13716.000000, 3.814697, 14.801025, 13.122559, 52.032471, 62.866211, 76.141357, 49.285889, 42.266846, 24.414063, 1.831055, 0.857585, 1.100867, 0.051210, -0.006166, 0.000000
13901.000000, 3.814697, 14.495850, 12.969971, 50.659180, 61.187744, 77.667236, 47.912598, 42.877197, 24.719238, 2.136230, 0.894904, 1.107931, -0.037319, -0.007064, 0.000000
14086.000000, 3.814697, 14.648438, 13.122559, 50.506592, 62.561035, 78.125000, 48.675537, 43.640137, 24.719238, 1.831055, 0.896552, 1.114449, -0.001647, -0.006518, 0.000000
14272.000000, 3.814697, 14.801025, 13.122559, 52.642822, 63.629150, 80.871582, 50.506592, 44.250488, 26.092529, 2.136230, 0.876133, 1.119606, 0.020419, -0.005156, 0.000000
14457.000000, 3.662109, 14.343262, 12.512207, 50.048828, 60.729980, 78.277588, 49.133301, 43.334961, 24.719238, 1.831055, 0.881988, 1.125617, -0.005855, -0.006012, 0.000000
14643.000000, 3.967285, 14.038086, 12.817383, 48.675537, 62.713623, 79.803467, 50.506592, 43.487549, 23.803711, 1.831055, 0.861027, 1.131405, 0.020960, -0.005787, 0.000000
14829.000000, 3.967285, 14.038086, 12.512207, 49.743652, 61.035156, 79.040527, 49.743652, 43.182373, 24.566650, 1.831055, 0.868098, 1.135786, -0.007071, -0.004381, 0.000000
15015.000000, 3.814697, 13.885498, 12.664795, 47.912598, 63.323975, 80.566406, 52.490234, 44.097900, 23.651123, 1.831055, 0.840116, 1.133991, 0.027982, 0.001794, 0.000000
15198.000000, 3.814697, 14.495850, 12.664795, 51.879883, 62.866211, 83.923340, 51.879883, 46.234131, 23.803711, 1.831055, 0.891176, 1.131061, -0.051060, 0.002930, 0.000000
15384.000000, 3.967285, 14.648438, 12.664795, 52.185059, 65.917969, 86.669922, 55.541992, 47.149658, 25.177002, 1.831055, 0.848901, 1.131586, 0.042275, -0.000524, 0.000000
FIRST DELTA HIT
15586.000000, 3.967285, 14.343262, 12.969971, 50.201416, 65.460205, 83.618164, 55.847168, 46.386719, 26.245117, 2.136230, 0.830601, 1.125166, 0.018300, 0.006419, 0.000000
15771.000000, 3.814697, 13.275146, 12.054443, 47.912598, 61.187744, 80.108643, 52.642822, 43.334961, 27.465820, 2.136230, 0.823188, 1.115757, 0.007413, 0.009409, 0.000000
15953.000000, 3.967285, 13.275146, 12.512207, 46.234131, 61.798096, 82.397461, 51.574707, 45.623779, 25.177002, 1.831055, 0.884615, 1.106606, -0.061427, 0.009151, 0.000000
16138.000000, 3.814697, 13.885498, 12.054443, 49.743652, 63.629150, 87.738037, 55.389404, 45.928955, 24.719238, 1.831055, 0.829201, 1.096773, 0.055414, 0.009833, 0.000000
16321.000000, 3.967285, 13.580322, 12.359619, 48.675537, 65.307617, 86.517334, 56.152344, 46.234131, 25.024414, 1.831055, 0.823370, 1.085264, 0.005832, 0.011509, 0.000000
16505.000000, 3.814697, 13.885498, 12.054443, 51.116943, 64.392090, 87.738037, 56.915283, 47.607422, 25.024414, 1.831055, 0.836461, 1.074448, -0.013092, 0.010816, 0.000000
16688.000000, 3.967285, 13.580322, 12.054443, 48.675537, 64.544678, 88.195801, 57.067871, 46.997070, 26.855469, 2.136230, 0.823529, 1.064633, 0.012932, 0.009816, 0.000000
16871.000000, 3.967285, 13.580322, 11.901855, 49.133301, 64.697266, 88.806152, 57.067871, 47.454834, 26.245117, 2.136230, 0.831551, 1.054157, -0.008021, 0.010476, 0.000000
17057.000000, 3.967285, 13.427734, 12.359619, 48.522949, 66.223145, 89.874268, 58.441162, 47.760010, 27.160645, 2.136230, 0.817232, 1.042819, 0.014318, 0.011338, 0.000000
17239.000000, 4.119873, 13.427734, 12.512207, 48.828125, 67.596436, 91.094971, 60.424805, 48.065186, 27.770996, 2.441406, 0.795455, 1.032177, 0.021778, 0.010642, 0.000000
17421.000000, 4.119873, 13.580322, 12.512207, 48.675537, 68.664551, 91.857910, 61.187744, 48.217773, 27.770996, 2.136230, 0.788030, 1.023126, 0.007425, 0.009051, 0.000000
17606.000000, 4.119873, 13.275146, 12.359619, 48.065186, 67.138672, 92.468262, 60.272217, 48.522949, 27.008057, 2.136230, 0.805063, 1.013344, -0.017033, 0.009781, 0.000000
17789.000000, 4.119873, 13.427734, 12.359619, 48.217773, 66.986084, 92.468262, 60.272217, 48.980713, 27.008057, 2.136230, 0.812658, 1.002949, -0.007595, 0.010396, 0.000000
17971.000000, 4.119873, 13.427734, 12.054443, 48.370361, 66.070557, 93.688965, 60.729980, 49.438477, 25.634766, 1.831055, 0.814070, 0.992567, -0.001412, 0.010382, 0.000000
18157.000000, 3.967285, 13.122559, 12.054443, 47.607422, 66.223145, 93.383789, 60.577393, 48.980713, 25.939941, 2.136230, 0.808564, 0.984888, 0.005506, 0.007679, 0.000000
18341.000000, 3.967285, 13.122559, 11.596680, 47.912598, 64.849854, 93.231201, 59.661865, 48.522949, 25.482178, 2.136230, 0.813299, 0.974625, -0.004735, 0.010263, 0.000000
18526.000000, 3.967285, 12.817383, 11.444092, 46.234131, 65.002441, 91.552734, 60.119629, 48.065186, 26.245117, 2.136230, 0.799492, 0.965886, 0.013807, 0.008739, 0.000000
18711.000000, 3.967285, 12.664795, 11.596680, 45.928955, 66.223145, 92.010498, 61.645508, 48.217773, 26.550293, 2.136230, 0.782178, 0.959001, 0.017314, 0.006885, 0.000000
18894.000000, 3.967285, 12.664795, 11.444092, 46.691895, 65.765381, 92.010498, 61.492920, 48.217773, 28.381348, 2.441406, 0.784119, 0.953191, -0.001941, 0.005810, 0.000000
19079.000000, 3.967285, 12.359619, 11.444092, 45.623779, 65.765381, 92.315674, 61.798096, 48.522949, 27.923584, 2.136230, 0.785185, 0.943476, -0.001066, 0.009715, 0.000000
19265.000000, 3.967285, 12.512207, 11.444092, 45.928955, 65.917969, 93.536377, 62.103271, 48.675537, 27.618408, 2.136230, 0.783784, 0.934636, 0.001401, 0.008839, 0.000000
19447.000000, 3.967285, 12.664795, 11.444092, 47.454834, 66.986084, 96.282959, 63.934326, 50.354004, 27.618408, 2.136230, 0.787589, 0.928804, -0.003806, 0.005832, 0.000000
19629.000000, 4.119873, 12.512207, 11.444092, 46.386719, 66.680908, 96.282959, 63.629150, 50.048828, 27.618408, 2.441406, 0.786571, 0.921847, 0.001019, 0.006957, 0.000000
19813.000000, 4.119873, 12.664795, 11.596680, 47.149658, 68.206787, 96.282959, 65.307617, 50.506592, 28.686523, 2.441406, 0.773364, 0.915304, 0.013206, 0.006543, 0.000000
19997.000000, 4.119873, 12.512207, 11.444092, 45.928955, 67.138672, 96.282959, 63.781738, 50.048828, 28.228760, 2.136230, 0.784689, 0.910453, -0.011325, 0.004851, 0.000000
20180.000000, 4.119873, 12.512207, 11.444092, 47.454834, 67.901611, 98.876953, 65.612793, 51.269531, 28.686523, 2.441406, 0.781395, 0.904284, 0.003294, 0.006170, 0.000000
20364.000000, 4.119873, 12.512207, 11.749268, 47.454834, 68.511963, 99.945068, 65.612793, 51.422119, 29.296875, 2.441406, 0.783721, 0.898195, -0.002326, 0.006089, 0.000000
20549.000000, 4.119873, 12.512207, 11.444092, 46.081543, 68.054199, 98.724365, 65.765381, 51.116943, 28.686523, 2.441406, 0.777262, 0.892470, 0.006459, 0.005724, 0.000000
20733.000000, 4.119873, 12.054443, 11.138916, 45.318604, 66.070557, 98.114014, 64.849854, 50.354004, 28.228760, 2.136230, 0.776471, 0.887142, 0.000792, 0.005328, 0.000000
20916.000000, 4.119873, 12.054443, 11.291504, 45.013428, 67.291260, 99.029541, 65.460205, 50.811768, 28.686523, 2.441406, 0.776224, 0.882863, 0.000247, 0.004279, 0.000000
21099.000000, 4.119873, 12.207031, 11.291504, 46.691895, 67.596436, 101.318360, 65.917969, 51.422119, 29.296875, 2.441406, 0.780093, 0.877883, -0.003869, 0.004980, 0.000000
21282.000000, 4.119873, 12.359619, 11.291504, 46.997070, 67.749023, 100.555420, 66.680908, 51.269531, 28.839111, 2.136230, 0.768879, 0.872928, 0.011214, 0.004954, 0.000000
21467.000000, 4.272461, 11.901855, 11.596680, 45.318604, 69.427490, 100.250240, 67.596436, 50.964355, 30.059814, 2.441406, 0.753950, 0.868426, 0.014928, 0.004503, 0.000000
21652.000000, 4.119873, 12.054443, 11.444092, 46.081543, 68.817139, 101.165770, 67.901611, 51.574707, 31.127930, 2.441406, 0.759551, 0.864497, -0.005600, 0.003929, 0.000000
21838.000000, 4.119873, 12.054443, 11.291504, 46.081543, 68.969727, 102.233890, 68.664551, 51.727295, 30.212402, 2.441406, 0.753333, 0.859643, 0.006217, 0.004853, 0.000000
22022.000000, 4.119873, 12.054443, 11.291504, 46.081543, 69.274902, 102.539060, 68.817139, 52.032471, 30.517578, 2.441406, 0.756098, 0.855754, -0.002764, 0.003889, 0.000000
22208.000000, 4.119873, 12.054443, 11.291504, 45.471191, 69.274902, 101.928710, 69.122314, 52.032471, 30.822754, 2.441406, 0.752759, 0.851812, 0.003338, 0.003942, 0.000000
22393.000000, 4.119873, 12.207031, 11.138916, 46.234131, 68.664551, 102.539060, 69.122314, 52.032471, 29.754639, 2.441406, 0.752759, 0.847630, 0.000000, 0.004182, 0.000000
22578.000000, 4.119873, 12.054443, 10.986328, 45.928955, 69.274902, 103.454590, 69.885254, 52.185059, 30.212402, 2.441406, 0.746725, 0.843467, 0.006034, 0.004163, 0.000000
22762.000000, 4.119873, 11.901855, 11.138916, 45.623779, 69.427490, 103.607180, 70.495605, 52.032471, 29.754639, 2.441406, 0.738095, 0.839300, 0.008630, 0.004167, 0.000000
22946.000000, 4.119873, 11.901855, 11.138916, 45.776367, 69.580078, 104.064940, 70.800781, 52.185059, 30.364990, 2.441406, 0.737069, 0.834378, 0.001026, 0.004922, 0.000000
23130.000000, 4.272461, 11.901855, 11.291504, 45.776367, 70.495605, 104.980470, 71.563721, 52.490234, 30.364990, 2.441406, 0.733476, 0.830339, 0.003593, 0.004039, 0.000000
23316.000000, 4.272461, 12.054443, 11.444092, 46.234131, 71.105957, 106.048580, 72.174072, 53.100586, 30.975342, 2.441406, 0.735729, 0.826148, -0.002254, 0.004190, 0.000000
23502.000000, 4.272461, 12.207031, 11.444092, 46.386719, 71.105957, 107.421880, 72.937012, 53.863525, 31.433105, 2.441406, 0.738494, 0.822125, -0.002764, 0.004023, 0.000000
