Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
155.000000, 5.187988, 17.547607, 8.544922, 18.463135, 22.277832, 18.615723, 12.817383, 5.645752, 39.215088, 1.220703, 0.440476, 0.440476, 0.000000, 0.000000, 0.000000
335.000000, 5.187988, 17.547607, 8.392334, 18.463135, 22.430420, 18.768311, 12.969971, 5.645752, 39.978027, 1.525879, 0.435294, 0.437885, 0.005182, 0.002591, 0.000000
515.000000, 5.187988, 17.395020, 8.392334, 18.310547, 22.430420, 18.615723, 12.817383, 5.645752, 39.367676, 1.220703, 0.440476, 0.438749, -0.005182, 0.000000, 0.000000
696.000000, 5.340576, 17.700195, 8.544922, 18.615723, 22.277832, 18.768311, 12.969971, 5.645752, 39.672852, 1.220703, 0.435294, 0.437885, 0.005182, 0.001296, 0.000000
875.000000, 5.187988, 17.547607, 8.392334, 18.463135, 22.430420, 18.615723, 12.817383, 5.645752, 39.825439, 1.525879, 0.440476, 0.438403, -0.005182, 0.000000, 0.000000
1056.000000, 5.187988, 17.700195, 8.544922, 18.615723, 22.277832, 18.615723, 12.817383, 5.645752, 39.672852, 1.525879, 0.440476, 0.438749, 0.000000, 0.000000, 0.000000
1236.000000, 5.340576, 17.700195, 8.544922, 18.615723, 22.430420, 18.768311, 12.817383, 5.645752, 39.825439, 1.220703, 0.440476, 0.438996, 0.000000, 0.000000, 0.000000
1417.000000, 5.187988, 17.547607, 8.392334, 18.463135, 22.277832, 18.615723, 12.817383, 5.645752, 39.520264, 1.220703, 0.440476, 0.439181, 0.000000, 0.000000, 0.000000
1596.000000, 5.340576, 17.700195, 8.544922, 18.615723, 22.277832, 18.768311, 12.969971, 5.645752, 39.978027, 1.373291, 0.435294, 0.438749, 0.005182, 0.000576, 0.000000
1776.000000, 5.187988, 17.547607, 8.392334, 18.463135, 22.277832, 18.615723, 12.817383, 5.645752, 39.672852, 1.220703, 0.440476, 0.438922, -0.005182, 0.000000, 0.000000
1958.000000, 5.187988, 17.700195, 8.544922, 18.615723, 25.482178, 21.209717, 14.801025, 6.713867, 39.215088, 1.525879, 0.453608, 0.440257, -0.013132, -0.001194, 0.000000
2140.000000, 6.103516, 23.956299, 10.833740, 20.446777, 14.953613, 20.294189, 14.953613, 7.476807, 18.768311, 0.610352, 0.500000, 0.445235, -0.046392, -0.004960, 0.000000
2324.000000, 2.441406, 10.375977, 4.119873, 5.187988, 9.765625, 13.122559, 9.613037, 5.035400, 15.869141, 0.610352, 0.523810, 0.451279, -0.023810, -0.006410, 0.000000
2504.000000, 4.730225, 17.547607, 6.713867, 10.528564, 20.446777, 21.362305, 15.716553, 7.629395, 42.724609, 1.525879, 0.485437, 0.453719, 0.038373, -0.003211, 0.000000
2684.000000, 2.288818, 8.850098, 2.899170, 3.356934, 7.324219, 8.239746, 6.256104, 3.051758, 16.784668, 0.610352, 0.487805, 0.455992, -0.002368, -0.003155, 0.000000
2861.000000, 3.051758, 11.444092, 3.967285, 5.187988, 4.577637, 6.408691, 5.035400, 2.746582, 13.580322, 0.305176, 0.545455, 0.461583, -0.057650, -0.006561, 0.000000
3040.000000, 1.678467, 5.950928, 1.983643, 1.983643, 2.746582, 3.967285, 3.204346, 2.136230, 8.087158, 0.305176, 0.666667, 0.473647, -0.121212, -0.013305, 0.000000
3216.000000, 1.678467, 8.697510, 2.746582, 1.831055, 2.899170, 4.730225, 4.119873, 3.509521, 7.781982, 0.305176, 0.851852, 0.494658, -0.185185, -0.022854, 0.000000
3393.000000, 1.220703, 6.103516, 2.136230, 1.220703, 2.441406, 5.187988, 4.577637, 4.577637, 7.781982, 0.305176, 1.000000, 0.521255, -0.148148, -0.029449, 0.000000
3570.000000, 1.678467, 10.223389, 3.204346, 2.136230, 4.882813, 8.392334, 7.324219, 7.171631, 9.002686, 0.305176, 0.979167, 0.544151, 0.020833, -0.026935, 0.000000
3747.000000, 2.899170, 14.953613, 5.645752, 5.340576, 6.408691, 7.476807, 6.103516, 6.561279, 10.833740, 0.610352, 1.075000, 0.569429, -0.095833, -0.030215, 0.000000
3926.000000, 2.593994, 13.580322, 6.561279, 8.850098, 7.476807, 7.019043, 5.493164, 6.103516, 11.138916, 0.610352, 1.111111, 0.594051, -0.036111, -0.030483, 0.000000
4104.000000, 2.288818, 11.901855, 7.934570, 12.512207, 8.850098, 6.103516, 5.035400, 5.645752, 11.901855, 0.610352, 1.121212, 0.616971, -0.010101, -0.029597, 0.000000
4283.000000, 1.983643, 10.681152, 7.934570, 15.869141, 9.460449, 5.798340, 4.425049, 5.187988, 8.697510, 0.305176, 1.172414, 0.640115, -0.051202, -0.030497, 0.000000
4460.000000, 2.441406, 11.901855, 10.681152, 22.430420, 10.375977, 5.798340, 4.577637, 5.340576, 9.307861, 0.610352, 1.166667, 0.661177, 0.005747, -0.029048, 0.000000
4640.000000, 1.983643, 10.070801, 8.850098, 20.904541, 10.681152, 5.645752, 4.272461, 5.187988, 9.613037, 0.610352, 1.214286, 0.682450, -0.047619, -0.029762, 0.000000
4819.000000, 2.288818, 12.054443, 9.918213, 23.040771, 12.512207, 6.866455, 5.187988, 5.950928, 11.291504, 0.610352, 1.147059, 0.699658, 0.067227, -0.026170, 0.000000
4999.000000, 1.831055, 9.002686, 8.544922, 21.209717, 12.512207, 6.866455, 5.035400, 5.798340, 10.223389, 0.610352, 1.151515, 0.715796, -0.004456, -0.025394, 0.000000
5178.000000, 1.678467, 9.460449, 8.850098, 23.345947, 13.580322, 6.256104, 5.187988, 5.950928, 10.833740, 0.610352, 1.147059, 0.730667, 0.004456, -0.024365, 0.000000
5357.000000, 1.831055, 8.087158, 8.850098, 21.820068, 12.969971, 6.256104, 4.882813, 5.950928, 10.223389, 0.610352, 1.218750, 0.746936, -0.071691, -0.025942, 0.000000
5536.000000, 1.678467, 7.476807, 8.392334, 22.277832, 12.969971, 6.713867, 5.035400, 5.950928, 10.070801, 0.610352, 1.181818, 0.760965, 0.036932, -0.023914, 0.000000
5716.000000, 1.525879, 7.476807, 8.392334, 23.345947, 13.122559, 6.866455, 5.035400, 6.103516, 10.528564, 0.610352, 1.212121, 0.775063, -0.030303, -0.024114, 0.000000
5896.000000, 1.525879, 7.781982, 8.087158, 23.498535, 14.038086, 7.171631, 5.340576, 6.256104, 10.681152, 0.610352, 1.171429, 0.787074, 0.040693, -0.022150, 0.000000
6074.000000, 1.678467, 7.934570, 8.697510, 23.651123, 14.953613, 7.934570, 5.645752, 6.713867, 10.833740, 0.610352, 1.189189, 0.798901, -0.017761, -0.022021, 0.000000
6254.000000, 1.678467, 7.629395, 8.087158, 21.972656, 16.479492, 9.307861, 7.171631, 7.476807, 20.446777, 0.915527, 1.042553, 0.805863, 0.146636, -0.017202, 0.000000
6431.000000, 1.678467, 8.087158, 7.629395, 23.803711, 14.495850, 8.697510, 6.561279, 6.866455, 12.359619, 0.610352, 1.046512, 0.812547, -0.003958, -0.016834, 0.000000
6611.000000, 1.373291, 7.019043, 6.713867, 21.667480, 14.038086, 7.934570, 5.950928, 6.561279, 10.070801, 0.610352, 1.102564, 0.820386, -0.056052, -0.017894, 0.000000
6790.000000, 1.373291, 6.256104, 7.019043, 19.989014, 12.969971, 7.934570, 5.645752, 6.256104, 9.460449, 0.610352, 1.108108, 0.827957, -0.005544, -0.017569, 0.000000
