Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
156.000000, 5.340576, 18.310547, 8.544922, 18.463135, 21.667480, 19.226074, 12.969971, 5.645752, 38.146973, 1.525879, 0.435294, 0.435294, 0.000000, 0.000000, 0.000000
334.000000, 5.340576, 18.005371, 8.392334, 18.310547, 21.667480, 19.073486, 12.969971, 5.645752, 37.689209, 1.525879, 0.435294, 0.435294, 0.000000, 0.000000, 0.000000
515.000000, 5.340576, 18.005371, 8.392334, 18.157959, 21.667480, 19.226074, 12.969971, 5.645752, 37.994385, 1.525879, 0.435294, 0.435294, 0.000000, 0.000000, 0.000000
694.000000, 5.493164, 18.463135, 8.544922, 18.615723, 21.820068, 19.226074, 12.969971, 5.645752, 37.231445, 1.525879, 0.435294, 0.435294, 0.000000, 0.000000, 0.000000
874.000000, 5.340576, 18.157959, 8.392334, 18.463135, 21.820068, 19.378662, 13.122559, 5.798340, 37.536621, 1.525879, 0.441860, 0.436607, -0.006566, -0.001313, 0.000000
1056.000000, 5.340576, 18.463135, 8.544922, 18.615723, 21.820068, 19.226074, 12.969971, 5.798340, 37.536621, 1.525879, 0.447059, 0.438349, -0.005198, -0.001961, 0.000000
1239.000000, 5.340576, 18.310547, 8.544922, 18.463135, 21.820068, 19.378662, 12.969971, 5.798340, 37.536621, 1.525879, 0.447059, 0.439594, 0.000000, -0.001681, 0.000000
1420.000000, 5.340576, 18.310547, 8.544922, 18.463135, 21.667480, 19.226074, 12.969971, 5.645752, 37.536621, 1.525879, 0.435294, 0.439056, 0.011765, 0.000000, 0.000000
1600.000000, 5.340576, 18.310547, 8.544922, 18.463135, 21.820068, 19.226074, 12.969971, 5.798340, 37.536621, 1.525879, 0.447059, 0.439945, -0.011765, -0.001307, 0.000000
1783.000000, 5.340576, 18.310547, 8.544922, 18.463135, 21.820068, 19.226074, 13.122559, 5.798340, 37.689209, 1.525879, 0.441860, 0.440137, 0.005198, -0.000657, 0.000000
1964.000000, 7.019043, 25.634766, 10.833740, 20.904541, 18.157959, 18.920898, 13.122559, 6.256104, 32.501221, 1.220703, 0.476744, 0.443465, -0.034884, -0.003768, 0.000000
2148.000000, 5.340576, 19.836426, 8.392334, 14.953613, 14.495850, 16.632080, 11.596680, 5.950928, 28.076172, 0.915527, 0.513158, 0.449273, -0.036414, -0.006489, 0.000000
2331.000000, 4.272461, 14.648438, 6.256104, 10.681152, 7.781982, 13.275146, 9.307861, 5.493164, 11.901855, 0.305176, 0.590164, 0.460110, -0.077006, -0.011913, 0.000000
2512.000000, 3.509521, 12.512207, 4.730225, 7.324219, 6.866455, 9.613037, 7.324219, 3.814697, 14.190674, 0.610352, 0.520833, 0.464448, 0.069331, -0.006110, 0.000000
2690.000000, 2.593994, 10.986328, 4.119873, 4.730225, 7.476807, 9.765625, 7.629395, 3.814697, 17.089844, 0.610352, 0.500000, 0.466818, 0.020833, -0.004314, 0.000000
2868.000000, 4.425049, 16.021729, 5.950928, 11.138916, 8.850098, 9.460449, 7.171631, 3.814697, 27.618408, 0.915527, 0.531915, 0.470886, -0.031915, -0.006039, 0.000000
3047.000000, 1.525879, 6.256104, 1.983643, 2.136230, 3.051758, 4.119873, 3.662109, 2.136230, 9.155273, 0.305176, 0.583333, 0.477501, -0.051418, -0.008708, 0.000000
3224.000000, 1.525879, 6.103516, 1.983643, 1.373291, 2.136230, 3.509521, 3.204346, 2.136230, 7.019043, 0.305176, 0.666667, 0.488010, -0.083333, -0.012854, 0.000000
3401.000000, 1.678467, 10.223389, 2.288818, 1.068115, 1.525879, 4.272461, 3.967285, 4.577637, 7.019043, 0.305176, 1.153846, 0.523054, -0.487179, -0.037819, 0.000000
3578.000000, 2.136230, 11.291504, 3.051758, 1.831055, 2.288818, 4.577637, 3.814697, 4.425049, 7.629395, 0.305176, 1.160000, 0.554901, -0.006154, -0.036235, 0.000000
3755.000000, 1.678467, 9.918213, 3.662109, 3.051758, 3.662109, 4.730225, 3.814697, 4.119873, 10.833740, 0.305176, 1.080000, 0.579906, 0.080000, -0.030700, 0.000000
3930.000000, 1.525879, 9.307861, 4.577637, 5.645752, 5.035400, 5.035400, 3.662109, 4.425049, 11.291504, 0.305176, 1.208333, 0.608471, -0.128333, -0.035138, 0.000000
4107.000000, 2.746582, 16.174316, 9.307861, 13.885498, 9.002686, 6.866455, 5.187988, 6.713867, 14.801025, 0.610352, 1.294118, 0.638282, -0.085784, -0.037340, 0.000000
4286.000000, 2.136230, 12.054443, 9.155273, 16.021729, 9.613037, 5.798340, 4.425049, 5.798340, 9.307861, 0.610352, 1.310345, 0.666284, -0.016227, -0.036460, 0.000000
4465.000000, 1.983643, 10.681152, 9.155273, 18.157959, 11.444092, 5.798340, 4.425049, 6.256104, 9.002686, 0.610352, 1.413793, 0.696185, -0.103448, -0.039140, 0.000000
4645.000000, 1.220703, 6.866455, 5.340576, 13.122559, 7.781982, 4.730225, 2.899170, 4.425049, 10.833740, 0.305176, 1.526316, 0.728113, -0.112523, -0.041962, 0.000000
4824.000000, 1.220703, 6.256104, 6.561279, 14.495850, 11.291504, 4.730225, 4.119873, 4.577637, 10.070801, 0.610352, 1.111111, 0.742298, 0.415205, -0.025030, 0.000000
5003.000000, 1.220703, 6.561279, 6.866455, 18.157959, 9.002686, 4.882813, 3.356934, 4.272461, 8.697510, 0.305176, 1.272727, 0.761242, -0.161616, -0.029908, 0.000000
5180.000000, 1.678467, 8.850098, 8.850098, 23.498535, 13.275146, 6.713867, 4.272461, 6.561279, 11.901855, 0.610352, 1.535714, 0.787948, -0.262987, -0.037946, 0.000000
5360.000000, 1.678467, 8.239746, 9.613037, 23.040771, 12.359619, 6.256104, 4.425049, 6.256104, 8.850098, 0.610352, 1.413793, 0.808809, 0.121921, -0.032617, 0.000000
5538.000000, 1.373291, 8.239746, 8.544922, 24.566650, 13.885498, 7.171631, 4.577637, 7.019043, 9.307861, 0.610352, 1.533333, 0.832181, -0.119540, -0.035421, 0.000000
5717.000000, 1.525879, 8.239746, 8.392334, 24.871826, 12.054443, 7.171631, 4.119873, 5.950928, 9.765625, 0.610352, 1.444444, 0.851314, 0.088889, -0.031536, 0.000000
5895.000000, 1.373291, 6.866455, 7.324219, 19.683838, 14.343262, 6.713867, 4.882813, 6.103516, 9.460449, 0.305176, 1.250000, 0.863396, 0.194444, -0.024688, 0.000000
6073.000000, 1.678467, 8.087158, 9.307861, 26.092529, 16.021729, 8.087158, 5.187988, 7.324219, 9.765625, 0.610352, 1.411765, 0.879524, -0.161765, -0.028720, 0.000000
