Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 19.83643, 75.83618, 29.75464, 74.76807, 64.54468, 61.64551, 40.43579, 18.92090, 46.69189, 1.83105
155.00000, 15.56396, 58.74634, 21.97266, 53.86353, 84.68628, 75.22583, 51.11694, 22.27783, 52.33765, 2.13623
271.00000, 16.02173, 62.25586, 23.80371, 56.30493, 77.20947, 74.31030, 46.38672, 22.43042, 51.42212, 2.13623
387.00000, 15.86914, 59.81445, 22.43042, 54.77905, 73.08960, 63.32397, 43.48755, 19.53125, 53.40576, 2.13623
503.00000, 18.92090, 73.24219, 26.70288, 65.76538, 69.58008, 63.17139, 43.64014, 19.83643, 52.79541, 2.13623
619.00000, 19.98901, 76.29395, 29.90723, 74.92065, 69.27490, 61.18774, 42.11426, 19.07349, 53.71094, 2.13623
735.00000, 17.08984, 64.08691, 23.95630, 58.28857, 72.78442, 63.01880, 45.77637, 19.98901, 54.47388, 2.13623
850.00000, 16.32690, 60.11963, 23.95630, 59.66187, 80.71899, 76.29395, 49.13330, 23.04077, 49.59106, 2.13623
967.00000, 16.47949, 61.18774, 23.34595, 57.37305, 84.68628, 75.22583, 51.72729, 22.43042, 54.62646, 2.13623
1081.00000, 16.63208, 60.72998, 23.80371, 59.35669, 84.83887, 73.85254, 49.89624, 21.97266, 54.47388, 2.13623
1198.00000, 18.00537, 66.98608, 27.16064, 68.66455, 88.19580, 84.38110, 54.77905, 25.32959, 53.40576, 2.13623
1315.00000, 18.61572, 72.17407, 26.70288, 66.22314, 75.83618, 66.68091, 47.60742, 20.75195, 53.40576, 2.13623
1432.00000, 18.61572, 71.25854, 27.16064, 69.42749, 69.42749, 60.42480, 41.96167, 18.76831, 52.64282, 2.13623
1549.00000, 16.02173, 59.96704, 24.10889, 60.27222, 70.64819, 63.01880, 43.64014, 19.53125, 52.33765, 2.13623
1666.00000, 17.54761, 65.91797, 25.63477, 65.91797, 83.16040, 74.46289, 52.03247, 22.73560, 54.01611, 2.13623
1783.00000, 16.17432, 61.18774, 22.88818, 55.54199, 99.18213, 101.16577, 75.07324, 35.85815, 119.17114, 5.79834
1902.00000, 16.93726, 62.25586, 16.63208, 28.68652, 34.33228, 41.96167, 31.28052, 15.71655, 61.49292, 2.13623
2019.00000, 7.17163, 39.21509, 9.76563, 11.59668, 30.51758, 37.53662, 28.99170, 13.58032, 54.77905, 1.83105
2134.00000, 10.98633, 46.69189, 13.73291, 25.17700, 26.09253, 34.17969, 27.31323, 12.96997, 48.21777, 1.83105
2251.00000, 21.36230, 71.71631, 22.88818, 40.74097, 22.58301, 27.77100, 22.43042, 10.68115, 43.94531, 1.52588
2368.00000, 14.03809, 50.50659, 15.25879, 21.97266, 15.41138, 20.90454, 17.08984, 8.85010, 25.78735, 1.22070
2484.00000, 4.42505, 19.68384, 5.34058, 7.01904, 12.20703, 15.25879, 14.49585, 8.08716, 32.04346, 0.91553
2597.00000, 7.78198, 32.04346, 9.76563, 11.74927, 20.59937, 31.73828, 27.31323, 14.34326, 84.53369, 2.44141
2712.00000, 16.17432, 65.76538, 15.25879, 13.58032, 11.29150, 18.76831, 17.08984, 10.52856, 41.35132, 1.52588
2829.00000, 10.22339, 51.26953, 11.74927, 8.85010, 10.52856, 21.66748, 20.75195, 16.17432, 35.09521, 1.22070
2944.00000, 7.17163, 36.46851, 8.08716, 5.18799, 7.93457, 18.00537, 15.56396, 14.80103, 29.90723, 1.22070
3057.00000, 4.73022, 27.61841, 5.95093, 3.66211, 4.73022, 10.52856, 12.05444, 10.52856, 26.70288, 0.91553
3171.00000, 23.80371, 86.82251, 14.64844, 7.47681, 37.53662, 114.44092, 111.69434, 85.29663, 251.92261, 11.29150
3291.00000, 68.20679, 221.25244, 34.02710, 19.07349, 36.92627, 111.23657, 108.18481, 84.68628, 271.14868, 11.90186
3412.00000, 53.71094, 179.29077, 27.00806, 13.73291, 36.62109, 92.62085, 86.97510, 77.51465, 214.53857, 10.07080
3532.00000, 8.69751, 38.14697, 9.30786, 4.88281, 36.62109, 80.41382, 79.65088, 77.81982, 248.56567, 12.20703
3649.00000, 35.85815, 128.78418, 37.07886, 30.05981, 32.19604, 56.45752, 57.37305, 59.96704, 173.33984, 8.23975
3768.00000, 30.36499, 112.91504, 39.67285, 40.13062, 36.62109, 52.64282, 54.62646, 65.46021, 226.74561, 11.90186
3888.00000, 27.16064, 101.47095, 44.25049, 54.16870, 37.38403, 46.69189, 48.06519, 55.99976, 170.74585, 8.23975
4007.00000, 24.41406, 104.06494, 53.40576, 76.90430, 46.08154, 46.08154, 47.76001, 55.38940, 171.20361, 8.54492
4124.00000, 21.97266, 85.44922, 52.18506, 81.02417, 43.48755, 40.74097, 42.11426, 52.49023, 162.04834, 7.93457
4243.00000, 20.14160, 78.58276, 57.67822, 100.86060, 53.10059, 41.65649, 43.64014, 56.15234, 198.97461, 9.76563
4362.00000, 19.22607, 75.83618, 65.00244, 120.69702, 51.42212, 36.92627, 36.46851, 49.59106, 196.53320, 9.46045
4480.00000, 19.37866, 74.92065, 72.93701, 154.87671, 70.95337, 41.35132, 44.09790, 54.62646, 214.99634, 10.37598
4601.00000, 17.70020, 70.80078, 76.44653, 172.11914, 61.95068, 35.40039, 39.06250, 52.64282, 200.80566, 10.07080
4721.00000, 16.63208, 65.61279, 72.63184, 171.96655, 69.42749, 39.36768, 40.43579, 57.06787, 217.74292, 10.68115
4841.00000, 16.32690, 64.54468, 77.51465, 193.63403, 80.87158, 42.11426, 44.55566, 57.98340, 235.90088, 11.59668
4961.00000, 16.93726, 62.86621, 82.09229, 212.09717, 75.68359, 37.99438, 42.87720, 52.33765, 224.91455, 10.98633
5081.00000, 16.17432, 59.20410, 78.43018, 213.47046, 79.95605, 39.52026, 43.48755, 53.86353, 231.17065, 12.05444
5201.00000, 15.71655, 59.20410, 81.32935, 221.40503, 81.32935, 39.36768, 43.94531, 55.08423, 234.52759, 11.90186
5321.00000, 16.32690, 58.89893, 83.31299, 231.17065, 79.19312, 39.21509, 44.25049, 53.71094, 225.52490, 11.29150
5440.00000, 14.03809, 51.11694, 74.92065, 205.84106, 80.87158, 38.90991, 44.86084, 52.94800, 228.57666, 11.29150
5560.00000, 15.10620, 53.40576, 77.81982, 222.16797, 82.70264, 40.74097, 43.94531, 54.77905, 231.78101, 11.90186
5681.00000, 13.88550, 47.76001, 73.69995, 210.87646, 84.07593, 41.19873, 44.55566, 54.47388, 236.05347, 12.20703
5800.00000, 13.73291, 47.91260, 76.14136, 225.06714, 84.38110, 41.80908, 45.31860, 57.52563, 235.90088, 12.20703
