Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 7.32422, 26.39771, 11.13892, 27.31323, 32.19604, 26.85547, 20.29419, 9.00269, 57.52563, 2.13623
154.00000, 10.83374, 40.28320, 16.47949, 41.19873, 50.50659, 42.41943, 31.12793, 14.64844, 52.18506, 1.83105
267.00000, 12.81738, 47.76001, 19.83643, 49.74365, 40.13062, 33.87451, 24.56665, 11.29150, 53.55835, 2.13623
384.00000, 8.85010, 31.73828, 13.58032, 33.26416, 36.46851, 30.82275, 22.73560, 10.07080, 57.37305, 2.13623
499.00000, 11.74927, 44.40308, 18.31055, 46.08154, 50.81177, 41.80908, 30.51758, 14.03809, 51.72729, 2.13623
614.00000, 13.73291, 50.96436, 21.20972, 53.40576, 47.30225, 40.13062, 28.99170, 13.12256, 54.16870, 2.44141
730.00000, 9.15527, 33.41675, 14.34326, 36.16333, 47.76001, 40.58838, 29.44946, 13.27515, 56.30493, 2.44141
845.00000, 13.27515, 49.89624, 20.59937, 51.72729, 65.76538, 53.71094, 39.36768, 18.00537, 52.94800, 2.44141
962.00000, 12.05444, 44.55566, 18.76831, 47.14966, 44.25049, 37.53662, 27.16064, 12.35962, 54.62646, 2.13623
1077.00000, 10.83374, 40.13062, 17.08984, 43.02979, 51.72729, 43.79272, 31.73828, 14.19067, 53.86353, 2.44141
1194.00000, 12.66479, 47.60742, 19.83643, 49.89624, 62.56104, 52.79541, 37.99438, 17.24243, 54.32129, 2.74658
1311.00000, 10.22339, 37.68921, 16.17432, 40.13062, 46.84448, 39.67285, 28.68652, 13.12256, 54.47388, 2.44141
1427.00000, 11.44409, 42.11426, 17.85278, 44.55566, 55.08423, 46.53931, 33.72192, 15.25879, 53.86353, 2.44141
1545.00000, 12.05444, 44.55566, 18.92090, 47.30225, 56.76270, 47.91260, 34.79004, 15.71655, 54.47388, 2.74658
1662.00000, 10.52856, 38.60474, 16.32690, 41.04614, 49.43848, 41.96167, 30.21240, 13.73291, 54.16870, 2.44141
1776.00000, 11.59668, 43.18237, 18.15796, 45.47119, 249.63379, 196.53320, 154.41895, 63.32397, 391.99829, 18.00537
1900.00000, 20.44678, 66.98608, 21.97266, 44.70825, 108.79517, 144.80591, 79.19312, 50.35400, 60.42480, 2.44141
2017.00000, 23.49854, 88.19580, 24.87183, 40.43579, 72.63184, 74.31030, 70.49561, 27.92358, 111.84692, 4.57764
2135.00000, 10.22339, 35.85815, 12.96997, 25.63477, 35.40039, 41.65649, 34.63745, 17.85278, 61.79810, 2.74658
2252.00000, 20.90454, 70.19043, 19.98901, 32.65381, 24.87183, 30.36499, 25.93994, 13.12256, 49.89624, 1.83105
2369.00000, 15.71655, 51.42212, 16.78467, 25.48218, 37.68921, 49.28589, 38.90991, 18.00537, 115.96680, 3.66211
2487.00000, 10.37598, 54.32129, 14.49585, 18.15796, 27.16064, 48.67554, 37.53662, 27.16064, 69.27490, 2.44141
2604.00000, 9.61304, 45.16602, 10.83374, 9.91821, 29.60205, 49.59106, 46.08154, 25.93994, 92.92603, 3.35693
2719.00000, 11.13892, 52.18506, 11.29150, 7.78198, 14.34326, 36.46851, 33.56934, 25.48218, 54.47388, 2.13623
2834.00000, 17.39502, 76.90430, 16.63208, 10.83374, 41.65649, 84.68628, 79.19312, 55.54199, 218.04810, 7.32422
2953.00000, 32.34863, 119.17114, 21.51489, 13.27515, 27.92358, 74.00513, 68.51196, 52.94800, 161.89575, 6.71387
3072.00000, 18.76831, 87.73804, 16.32690, 8.08716, 19.98901, 50.20142, 48.06519, 39.06250, 84.22852, 3.66211
3188.00000, 45.77637, 155.63965, 29.14429, 16.47949, 41.19873, 93.84155, 93.99414, 77.81982, 256.04248, 9.46045
3307.00000, 63.17139, 220.94727, 41.65649, 23.80371, 35.70557, 72.78442, 74.76807, 62.56104, 211.63940, 8.23975
3424.00000, 40.58838, 147.55249, 31.12793, 19.83643, 16.63208, 33.72192, 32.80640, 29.44946, 70.19043, 3.35693
3541.00000, 35.09521, 139.16016, 38.90991, 30.82275, 50.50659, 73.54736, 75.07324, 70.95337, 226.28784, 8.85010
3659.00000, 35.55298, 139.46533, 51.72729, 54.77905, 66.52832, 73.85254, 74.15771, 74.76807, 268.70728, 10.37598
3779.00000, 28.07617, 115.35645, 51.42212, 66.98608, 70.49561, 64.69727, 65.30762, 67.13867, 258.17871, 9.76563
3898.00000, 29.75464, 117.64526, 63.62915, 91.24756, 81.48193, 62.56104, 62.25586, 70.34302, 260.16235, 10.37598
4018.00000, 26.24512, 102.99683, 67.74902, 114.59351, 84.07593, 56.61011, 56.91528, 65.76538, 259.24683, 10.68115
4139.00000, 24.41406, 100.70801, 77.97241, 152.28271, 87.89063, 50.65918, 53.10059, 60.57739, 250.39673, 9.46045
4259.00000, 22.27783, 87.89063, 76.90430, 164.48975, 95.67261, 50.96436, 52.79541, 63.17139, 279.54102, 10.68115
4380.00000, 22.58301, 87.28027, 85.90698, 193.02368, 105.89600, 52.03247, 52.64282, 64.08691, 294.34204, 11.59668
4501.00000, 20.90454, 83.16040, 86.97510, 211.79199, 120.39185, 56.91528, 57.67822, 65.76538, 323.94409, 12.51221
4621.00000, 23.95630, 91.55273, 100.40283, 261.84082, 139.00757, 60.88257, 63.01880, 68.35938, 345.91675, 13.73291
4744.00000, 21.66748, 83.46558, 94.60449, 254.66919, 132.90405, 58.74634, 59.05151, 65.76538, 323.79150, 12.20703
4865.00000, 21.66748, 81.48193, 94.60449, 266.26587, 148.46802, 66.07056, 64.84985, 71.25854, 366.66870, 14.03809
4986.00000, 23.34595, 86.51733, 100.86060, 288.54370, 164.18457, 74.92065, 72.93701, 75.68359, 396.72852, 15.86914
5107.00000, 21.05713, 78.73535, 94.75708, 267.18140, 153.04565, 69.27490, 70.95337, 71.56372, 371.09375, 14.64844
5228.00000, 20.59937, 81.02417, 83.46558, 211.02905, 141.75415, 68.20679, 68.05420, 73.85254, 310.82153, 12.81738
5349.00000, 19.53125, 74.46289, 87.28027, 236.66382, 136.41357, 67.44385, 65.91797, 73.08960, 319.97681, 13.12256
5470.00000, 18.00537, 67.29126, 83.77075, 241.08887, 150.75684, 70.95337, 70.95337, 72.78442, 351.25732, 14.64844
5591.00000, 19.98901, 73.39478, 92.62085, 274.96338, 166.77856, 77.36206, 78.73535, 77.51465, 357.36084, 15.25879
5713.00000, 19.37866, 70.64819, 89.72168, 275.11597, 182.64771, 85.44922, 83.46558, 83.92334, 390.62500, 16.47949
5834.00000, 18.61572, 67.29126, 88.04321, 271.75903, 168.76221, 80.10864, 79.19312, 79.80347, 373.84033, 15.71655
5954.00000, 18.15796, 67.29126, 87.89063, 273.59009, 173.18726, 84.53369, 81.48193, 83.61816, 381.77490, 15.86914
6073.00000, 19.98901, 69.42749, 90.94238, 272.97974, 178.37524, 86.05957, 83.31299, 83.31299, 363.76953, 15.56396
6194.00000, 17.54761, 63.17139, 82.09229, 268.24951, 180.35889, 89.26392, 87.89063, 83.46558, 373.53516, 16.47949
6315.00000, 17.39502, 61.79810, 83.31299, 274.81079, 175.47607, 85.75439, 86.66992, 81.02417, 363.15918, 15.86914
6435.00000, 16.17432, 56.91528, 80.10864, 259.09424, 177.76489, 88.65356, 86.05957, 84.07593, 363.92212, 15.86914
6556.00000, 16.17432, 55.84717, 77.97241, 259.09424, 175.01831, 85.90698, 86.36475, 81.78711, 359.34448, 16.17432
6678.00000, 16.32690, 56.61011, 80.26123, 260.62012, 179.44336, 90.63721, 89.41650, 85.90698, 369.56787, 16.17432
6798.00000, 16.32690, 55.99976, 79.19312, 262.60376, 183.71582, 93.84155, 92.62085, 88.04321, 365.75317, 16.47949
6919.00000, 16.32690, 54.77905, 77.66724, 260.92529, 186.00464, 96.74072, 97.04590, 87.12769, 373.22998, 16.78467
7041.00000, 16.17432, 54.93164, 78.43018, 264.89258, 191.95557, 101.01318, 99.33472, 91.40015, 393.37158, 17.70020
7162.00000, 15.86914, 53.10059, 76.90430, 261.53564, 194.54956, 104.67529, 102.38647, 93.38379, 396.42334, 18.31055
7284.00000, 16.17432, 54.01611, 76.59912, 266.41846, 191.34521, 103.30200, 100.86060, 91.55273, 362.85400, 16.17432
7407.00000, 15.71655, 51.87988, 75.98877, 259.70459, 196.99097, 111.54175, 105.28564, 97.50366, 371.85669, 17.39502
7530.00000, 15.41138, 50.65918, 72.78442, 257.41577, 200.80566, 112.60986, 110.32104, 97.19849, 396.72852, 18.92090
7651.00000, 15.71655, 50.65918, 73.08960, 255.88989, 200.34790, 115.20386, 111.84692, 95.36743, 396.72852, 18.31055
7774.00000, 16.02173, 51.87988, 73.69995, 260.77271, 207.51953, 119.93408, 116.57715, 98.87695, 395.81299, 18.61572
7898.00000, 16.78467, 53.55835, 75.68359, 267.63916, 220.48950, 129.24194, 122.52808, 104.67529, 396.72852, 19.22607
8022.00000, 16.17432, 51.72729, 72.63184, 258.63647, 213.01270, 126.49536, 121.30737, 101.01318, 396.72852, 19.53125
8146.00000, 15.10620, 48.37036, 69.12231, 248.41309, 206.60400, 123.90137, 118.25562, 97.80884, 391.23535, 18.92090
8270.00000, 15.25879, 47.76001, 68.35938, 246.27686, 210.87646, 129.69971, 122.22290, 100.55542, 396.72852, 18.61572
8394.00000, 15.56396, 49.28589, 68.35938, 253.90625, 224.60938, 141.14380, 132.29370, 105.28564, 396.72852, 20.44678
8518.00000, 16.02173, 50.65918, 70.34302, 253.75366, 228.42407, 138.54980, 134.12476, 102.69165, 396.72852, 19.83643
8643.00000, 15.56396, 48.52295, 67.13867, 254.21143, 226.59302, 144.50073, 136.10840, 103.91235, 396.72852, 20.44678
8767.00000, 16.17432, 49.13330, 68.81714, 258.33130, 229.49219, 149.38354, 138.39722, 107.26929, 396.72852, 20.44678
8891.00000, 15.86914, 46.84448, 67.13867, 253.44849, 227.66113, 153.04565, 141.44897, 109.10034, 396.72852, 20.75195
9015.00000, 15.86914, 46.99707, 66.68091, 249.17603, 234.06982, 154.26636, 146.94214, 109.40552, 396.72852, 21.36230
9139.00000, 16.17432, 47.91260, 68.81714, 256.04248, 243.83545, 161.89575, 151.06201, 114.74609, 396.72852, 21.66748
9264.00000, 15.86914, 46.38672, 67.44385, 244.44580, 236.20605, 157.01294, 147.70508, 112.30469, 396.72852, 21.36230
9388.00000, 15.56396, 45.01343, 65.15503, 244.75098, 237.12158, 157.77588, 149.38354, 110.62622, 396.72852, 21.66748
9512.00000, 15.86914, 45.47119, 65.30762, 249.78638, 243.07251, 168.91479, 154.87671, 116.42456, 396.72852, 21.36230
9637.00000, 16.17432, 46.38672, 66.07056, 252.83813, 242.46216, 166.93115, 157.77588, 114.44092, 396.72852, 20.44678
9760.00000, 14.80103, 41.96167, 61.03516, 234.98535, 237.73193, 159.14917, 157.01294, 107.11670, 396.72852, 21.97266
9882.00000, 15.71655, 43.48755, 63.32397, 244.14063, 254.51660, 176.08643, 164.64233, 117.18750, 396.72852, 22.88818
10007.00000, 16.32690, 44.40308, 65.30762, 246.88721, 250.85449, 176.69678, 164.64233, 117.18750, 396.72852, 22.27783
10131.00000, 15.56396, 42.57202, 62.56104, 243.68286, 254.51660, 186.15723, 168.15186, 121.15479, 396.72852, 23.49854
10257.00000, 16.47949, 44.86084, 64.69727, 253.29590, 271.14868, 193.63403, 181.42700, 124.05396, 396.72852, 24.41406
10382.00000, 17.24243, 45.77637, 67.13867, 261.53564, 280.91431, 206.14624, 188.14087, 131.98853, 396.72852, 25.63477
10507.00000, 16.93726, 45.47119, 65.76538, 256.19507, 275.11597, 202.33154, 184.78394, 128.32642, 396.72852, 24.41406
10633.00000, 16.02173, 42.72461, 62.40845, 243.98804, 265.80811, 191.34521, 181.88477, 122.07031, 396.72852, 24.71924
10758.00000, 16.32690, 42.72461, 62.40845, 248.10791, 268.55469, 205.53589, 182.18994, 130.00488, 396.72852, 24.41406
10883.00000, 16.32690, 42.41943, 62.25586, 244.14063, 272.82715, 202.94189, 187.98828, 126.80054, 396.72852, 24.10889
11009.00000, 16.17432, 42.57202, 61.79810, 247.95532, 283.81348, 208.28247, 200.19531, 126.34277, 396.72852, 26.85547
11134.00000, 17.39502, 44.25049, 64.39209, 254.36401, 288.39111, 221.71021, 198.82202, 134.73511, 396.72852, 26.24512
11259.00000, 17.08984, 43.33496, 64.08691, 248.71826, 282.89795, 218.81104, 197.44873, 134.42993, 396.72852, 25.93994
11385.00000, 16.63208, 42.11426, 61.18774, 245.20874, 284.42383, 220.48950, 200.80566, 132.59888, 396.72852, 26.55029
11510.00000, 17.08984, 43.02979, 63.32397, 246.27686, 292.96875, 227.81372, 204.77295, 136.10840, 396.72852, 26.55029
11635.00000, 17.08984, 42.26685, 62.40845, 245.97168, 293.57910, 232.54395, 214.23340, 135.65063, 396.72852, 27.46582
11761.00000, 17.24243, 42.87720, 62.25586, 254.97437, 302.88696, 241.24146, 218.65845, 138.70239, 396.72852, 28.07617
11886.00000, 17.70020, 43.48755, 64.39209, 250.39673, 308.53271, 247.65015, 220.18433, 143.89038, 396.72852, 28.68652
12012.00000, 18.00537, 43.79272, 64.23950, 255.58472, 314.17847, 254.21143, 227.35596, 143.58521, 396.72852, 28.99170
12135.00000, 17.85278, 43.18237, 63.17139, 257.11060, 314.33105, 256.50024, 231.47583, 143.43262, 396.72852, 29.44946
12260.00000, 17.85278, 42.72461, 62.71362, 253.44849, 312.65259, 253.60107, 232.39136, 143.28003, 396.72852, 29.60205
12385.00000, 17.54761, 42.11426, 61.95068, 249.78638, 312.19482, 256.50024, 230.56030, 144.50073, 396.72852, 29.29688
12511.00000, 17.85278, 42.11426, 61.95068, 250.85449, 313.11035, 258.78906, 232.54395, 144.50073, 396.72852, 29.29688
12636.00000, 17.54761, 40.43579, 60.27222, 244.75098, 308.22754, 255.43213, 231.01807, 141.90674, 396.72852, 29.29688
12762.00000, 17.08984, 39.82544, 59.35669, 241.85181, 304.10767, 253.44849, 232.08618, 140.22827, 396.72852, 28.99170
12887.00000, 17.39502, 39.52026, 58.89893, 243.53027, 305.93872, 258.48389, 235.29053, 142.05933, 396.72852, 28.99170
13012.00000, 16.93726, 38.45215, 57.06787, 238.18970, 300.29297, 254.21143, 232.69653, 139.61792, 396.72852, 28.38135
13138.00000, 17.08984, 38.75732, 57.98340, 237.73193, 308.83789, 260.16235, 236.81641, 143.89038, 396.72852, 28.99170
13263.00000, 17.39502, 39.21509, 58.89893, 240.02075, 312.19482, 265.80811, 240.63110, 145.72144, 396.72852, 29.60205
13388.00000, 17.08984, 38.75732, 58.28857, 238.03711, 312.34741, 265.04517, 241.54663, 145.11108, 396.72852, 29.90723
13514.00000, 16.93726, 37.68921, 56.91528, 233.76465, 306.70166, 263.21411, 239.71558, 142.66968, 396.72852, 29.29688
13638.00000, 16.63208, 36.46851, 54.62646, 228.57666, 295.41016, 258.33130, 234.52759, 137.63428, 396.72852, 28.38135
13762.00000, 16.63208, 35.55298, 53.86353, 224.91455, 296.47827, 262.14600, 236.51123, 138.39722, 396.72852, 28.68652
13887.00000, 17.08984, 36.92627, 55.23682, 230.86548, 313.11035, 274.20044, 248.56567, 145.26367, 396.72852, 29.60205
14012.00000, 17.85278, 39.06250, 58.59375, 242.30957, 335.54077, 292.05322, 266.11328, 153.50342, 396.72852, 31.43311
14137.00000, 18.46313, 39.52026, 59.35669, 245.66650, 338.74512, 298.30933, 270.08057, 154.57153, 396.72852, 32.04346
14262.00000, 18.31055, 39.67285, 59.20410, 245.66650, 342.55981, 305.48096, 276.18408, 155.94482, 396.72852, 33.26416
14388.00000, 18.76831, 39.52026, 59.20410, 248.41309, 344.23828, 311.73706, 280.76172, 155.94482, 396.72852, 33.26416
14513.00000, 18.46313, 38.90991, 58.59375, 241.69922, 338.28735, 305.17578, 273.43750, 153.50342, 396.72852, 32.50122
14639.00000, 18.00537, 37.84180, 56.91528, 232.69653, 335.08301, 299.22485, 269.01245, 152.58789, 396.72852, 32.04346
14764.00000, 18.15796, 38.29956, 57.22046, 238.49487, 340.72876, 311.27930, 276.18408, 155.48706, 396.72852, 32.65381
14886.00000, 18.61572, 38.14697, 57.52563, 237.73193, 342.10205, 313.87329, 279.99878, 155.18188, 396.72852, 32.95898
15013.00000, 18.61572, 38.45215, 57.06787, 241.69922, 343.01758, 323.02856, 284.27124, 157.01294, 396.72852, 33.26416
15137.00000, 18.76831, 38.60474, 57.52563, 242.00439, 350.49438, 323.02856, 291.90063, 158.08105, 396.72852, 33.56934
15261.00000, 18.31055, 38.14697, 56.91528, 241.85181, 354.15649, 323.33374, 297.24121, 157.77588, 396.72852, 33.87451
15386.00000, 18.46313, 37.84180, 56.76270, 238.49487, 347.74780, 322.57080, 290.06958, 157.31812, 396.72852, 33.56934
15512.00000, 18.61572, 37.23145, 56.45752, 235.44312, 345.76416, 324.09668, 288.23853, 158.08105, 396.72852, 33.26416
15635.00000, 18.61572, 37.53662, 56.61011, 234.83276, 346.06934, 327.60620, 287.62817, 160.21729, 396.72852, 33.26416
15759.00000, 18.31055, 36.92627, 55.69458, 237.42676, 353.54614, 326.38550, 304.10767, 157.77588, 396.72852, 34.17969
15883.00000, 18.31055, 36.92627, 55.69458, 237.12158, 348.05298, 325.31738, 294.03687, 158.84399, 396.72852, 33.87451
16008.00000, 18.61572, 36.31592, 56.61011, 229.18701, 349.42627, 327.30103, 290.52734, 159.91211, 396.72852, 33.56934
16133.00000, 18.92090, 37.38403, 57.06787, 241.85181, 358.42896, 341.79688, 303.19214, 163.57422, 396.72852, 33.56934
16259.00000, 19.07349, 37.53662, 57.06787, 241.69922, 363.15918, 344.23828, 309.14307, 167.23633, 396.72852, 35.70557
16384.00000, 18.61572, 36.31592, 55.69458, 238.18970, 354.76685, 333.86230, 305.48096, 161.89575, 396.72852, 35.85815
16508.00000, 18.46313, 35.40039, 54.77905, 231.32324, 346.22192, 328.52173, 298.15674, 158.69141, 396.72852, 35.70557
16634.00000, 18.15796, 34.79004, 53.86353, 226.28784, 346.22192, 327.14844, 296.93604, 158.69141, 396.72852, 35.09521
16759.00000, 18.00537, 34.79004, 53.71094, 228.11890, 346.22192, 329.43726, 299.37744, 160.06470, 396.72852, 34.48486
16884.00000, 17.85278, 34.79004, 53.40576, 228.42407, 347.59521, 330.96313, 300.75073, 160.06470, 396.72852, 34.48486
17008.00000, 18.15796, 34.33228, 53.40576, 225.67749, 345.91675, 330.81055, 299.98779, 158.38623, 396.72852, 34.79004
17134.00000, 18.00537, 33.87451, 53.10059, 222.93091, 346.98486, 328.97949, 302.42920, 158.08105, 396.72852, 35.40039
17259.00000, 17.85278, 33.56934, 52.49023, 221.25244, 345.30640, 329.43726, 302.27661, 157.31812, 396.72852, 35.09521
17383.00000, 18.15796, 33.87451, 52.79541, 222.16797, 347.13745, 335.08301, 303.03955, 159.75952, 396.72852, 35.09521
17509.00000, 18.31055, 34.02710, 53.10059, 224.76196, 352.17285, 342.71240, 308.53271, 161.89575, 396.72852, 35.09521
17634.00000, 18.46313, 34.79004, 53.86353, 229.49219, 361.17554, 352.02026, 318.14575, 165.40527, 396.72852, 35.70557
17758.00000, 18.76831, 35.24780, 54.47388, 232.08618, 365.90576, 358.73413, 323.33374, 167.23633, 396.72852, 36.62109
17883.00000, 19.07349, 35.40039, 54.47388, 232.23877, 367.88940, 361.32813, 326.23291, 167.84668, 396.72852, 36.62109
18007.00000, 19.22607, 35.40039, 54.62646, 231.62842, 369.41528, 365.60059, 328.36914, 168.45703, 396.72852, 37.23145
18133.00000, 19.22607, 35.40039, 54.47388, 230.40771, 371.70410, 366.36353, 329.28467, 167.84668, 396.72852, 37.23145
18258.00000, 19.37866, 35.40039, 54.93164, 230.86548, 373.38257, 370.48340, 332.94678, 169.21997, 396.72852, 37.53662
18383.00000, 19.37866, 35.40039, 54.62646, 232.39136, 373.68774, 375.51880, 334.16748, 170.28809, 396.72852, 37.53662
18509.00000, 19.37866, 35.70557, 54.62646, 232.54395, 375.82397, 376.12915, 337.37183, 170.28809, 396.72852, 37.84180
18634.00000, 19.53125, 35.40039, 54.32129, 231.01807, 373.22998, 377.96021, 336.60889, 169.37256, 396.72852, 37.84180
18758.00000, 19.53125, 35.24780, 54.32129, 230.10254, 375.51880, 378.41797, 337.37183, 169.67773, 396.72852, 37.84180
18882.00000, 19.37866, 35.09521, 54.16870, 230.25513, 375.97656, 378.87573, 340.57617, 168.91479, 396.72852, 37.53662
19008.00000, 19.53125, 35.24780, 54.16870, 229.94995, 378.72314, 381.16455, 341.64429, 170.74585, 396.72852, 37.99438
19132.00000, 19.53125, 35.09521, 54.16870, 229.94995, 379.18091, 382.84302, 343.78052, 170.89844, 396.72852, 37.84180
19256.00000, 19.68384, 35.09521, 54.32129, 229.49219, 381.46973, 387.26807, 345.30640, 171.96655, 396.72852, 38.14697
19381.00000, 19.83643, 35.40039, 54.62646, 231.17065, 386.50513, 392.76123, 351.71509, 173.49243, 396.72852, 38.75732
19505.00000, 20.14160, 36.01074, 55.23682, 234.83276, 390.47241, 396.72852, 355.37720, 176.54419, 396.72852, 38.75732
19630.00000, 20.29419, 36.16333, 55.69458, 236.05347, 393.52417, 396.72852, 359.03931, 177.91748, 396.72852, 39.36768
19756.00000, 20.44678, 36.01074, 55.38940, 234.68018, 394.43970, 396.72852, 359.80225, 177.45972, 396.72852, 39.67285
19881.00000, 20.44678, 36.31592, 55.54199, 235.59570, 393.06641, 396.72852, 359.64966, 177.45972, 396.72852, 39.67285
20007.00000, 20.29419, 35.85815, 54.93164, 233.30688, 394.89746, 396.72852, 362.39624, 177.30713, 396.72852, 40.28320
20132.00000, 20.44678, 35.70557, 55.08423, 232.39136, 393.21899, 396.72852, 361.63330, 176.39160, 396.72852, 39.82544
20257.00000, 20.44678, 35.55298, 54.93164, 231.93359, 393.98193, 396.72852, 363.31177, 176.08643, 396.72852, 40.28320
20383.00000, 20.44678, 35.40039, 54.93164, 231.62842, 392.30347, 396.72852, 362.54883, 176.08643, 396.72852, 40.28320
20508.00000, 20.44678, 35.40039, 54.77905, 231.78101, 392.76123, 396.72852, 362.85400, 177.15454, 396.72852, 40.28320
