Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 9.30786, 32.80640, 14.19067, 34.48486, 40.13062, 31.58569, 23.65112, 10.98633, 78.43018, 3.05176
154.00000, 11.59668, 38.29956, 17.85278, 40.89355, 49.43848, 37.84180, 29.60205, 13.42773, 102.23389, 3.96729
271.00000, 9.61304, 33.11157, 14.80103, 34.94263, 39.97803, 31.58569, 23.49854, 10.98633, 81.78711, 3.05176
384.00000, 9.76563, 34.02710, 15.41138, 35.40039, 43.33496, 34.17969, 26.55029, 11.90186, 87.28027, 3.35693
499.00000, 10.68115, 36.31592, 16.63208, 37.99438, 46.23413, 36.01074, 28.07617, 12.66479, 93.53638, 3.66211
615.00000, 9.61304, 33.56934, 14.95361, 35.40039, 41.96167, 33.26416, 25.17700, 11.44409, 88.19580, 3.35693
730.00000, 9.76563, 33.72192, 15.41138, 35.24780, 43.94531, 34.63745, 26.85547, 12.05444, 89.11133, 3.35693
843.00000, 9.91821, 34.17969, 15.71655, 35.85815, 44.55566, 34.94263, 27.31323, 12.20703, 90.48462, 3.35693
958.00000, 9.00269, 31.73828, 14.34326, 33.41675, 39.82544, 31.58569, 24.10889, 10.83374, 83.31299, 3.05176
1074.00000, 9.61304, 33.41675, 15.10620, 35.09521, 44.55566, 34.94263, 27.31323, 12.20703, 89.72168, 3.35693
1189.00000, 10.07080, 34.94263, 16.02173, 36.77368, 45.01343, 35.09521, 27.46582, 12.35962, 91.24756, 3.35693
1306.00000, 10.07080, 34.63745, 15.56396, 36.31592, 43.94531, 34.79004, 26.55029, 12.05444, 89.87427, 3.35693
1422.00000, 10.07080, 35.09521, 15.86914, 36.62109, 45.47119, 35.70557, 27.77100, 12.51221, 92.16309, 3.35693
1539.00000, 10.22339, 35.24780, 16.02173, 36.77368, 45.16602, 35.55298, 27.61841, 12.35962, 91.55273, 3.35693
1656.00000, 9.91821, 34.63745, 15.56396, 36.01074, 44.70825, 35.40039, 27.16064, 12.20703, 91.55273, 3.35693
1770.00000, 10.07080, 34.79004, 15.71655, 36.46851, 45.92896, 36.01074, 28.07617, 12.51221, 93.53638, 3.66211
1888.00000, 10.07080, 34.79004, 15.71655, 36.31592, 45.47119, 35.85815, 27.77100, 12.51221, 92.46826, 3.35693
2004.00000, 10.07080, 34.63745, 15.56396, 36.31592, 45.01343, 35.55298, 27.46582, 12.35962, 92.16309, 3.35693
2121.00000, 10.07080, 34.94263, 15.86914, 36.62109, 45.47119, 35.70557, 27.92358, 12.51221, 92.77344, 3.35693
2239.00000, 10.07080, 34.63745, 15.71655, 36.31592, 45.01343, 35.40039, 27.46582, 12.35962, 91.55273, 3.35693
2354.00000, 10.07080, 34.63745, 15.71655, 36.16333, 45.16602, 35.55298, 27.46582, 12.35962, 92.31567, 3.35693
2471.00000, 10.07080, 34.94263, 15.86914, 36.62109, 45.31860, 35.70557, 27.77100, 12.51221, 92.16309, 3.66211
2588.00000, 11.29150, 38.14697, 17.39502, 39.97803, 49.43848, 38.75732, 30.05981, 13.58032, 100.86060, 3.66211
2705.00000, 11.29150, 37.99438, 17.24243, 39.82544, 49.43848, 39.06250, 30.36499, 13.73291, 101.47095, 3.96729
2823.00000, 11.29150, 37.99438, 17.39502, 39.82544, 49.74365, 39.21509, 30.51758, 13.73291, 101.62354, 3.96729
2939.00000, 11.29150, 38.14697, 17.39502, 39.97803, 49.43848, 38.75732, 30.21240, 13.42773, 100.86060, 3.66211
3057.00000, 9.91821, 38.60474, 15.41138, 32.34863, 30.51758, 30.67017, 23.65112, 11.44409, 64.23950, 2.44141
3170.00000, 9.46045, 42.72461, 15.56396, 24.26147, 22.12524, 23.04077, 19.07349, 9.76563, 47.91260, 2.13623
