Time, Value
0.00000, 42.00000
0.00000, 169.00000
1.00000, 96.00000
7.00000, 95.00000
26.00000, 96.00000
47.00000, 96.00000
68.00000, 95.00000
88.00000, 96.00000
110.00000, 96.00000
131.00000, 95.00000
153.00000, 96.00000
175.00000, 96.00000
197.00000, 96.00000
218.00000, 94.00000
241.00000, 95.00000
263.00000, 95.00000
284.00000, 95.00000
306.00000, 94.00000
328.00000, 94.00000
350.00000, 95.00000
371.00000, 94.00000
394.00000, 95.00000
415.00000, 93.00000
437.00000, 94.00000
459.00000, 93.00000
481.00000, 94.00000
502.00000, 93.00000
525.00000, 95.00000
546.00000, 94.00000
568.00000, 94.00000
590.00000, 94.00000
612.00000, 94.00000
633.00000, 94.00000
656.00000, 93.00000
677.00000, 93.00000
699.00000, 94.00000
721.00000, 93.00000
743.00000, 94.00000
764.00000, 93.00000
787.00000, 93.00000
808.00000, 94.00000
830.00000, 93.00000
852.00000, 93.00000
874.00000, 93.00000
895.00000, 94.00000
918.00000, 93.00000
939.00000, 94.00000
961.00000, 93.00000
983.00000, 92.00000
1005.00000, 93.00000
1027.00000, 94.00000
1051.00000, 94.00000
1074.00000, 92.00000
1096.00000, 93.00000
1120.00000, 93.00000
1142.00000, 93.00000
1165.00000, 93.00000
1188.00000, 92.00000
1211.00000, 93.00000
1233.00000, 93.00000
1257.00000, 93.00000
1279.00000, 93.00000
1302.00000, 93.00000
1325.00000, 93.00000
1348.00000, 93.00000
1370.00000, 93.00000
1394.00000, 92.00000
1417.00000, 94.00000
1440.00000, 94.00000
1463.00000, 93.00000
1485.00000, 93.00000
1508.00000, 92.00000
1531.00000, 93.00000
1554.00000, 93.00000
1577.00000, 92.00000
1600.00000, 93.00000
1622.00000, 93.00000
1646.00000, 92.00000
1668.00000, 92.00000
1691.00000, 94.00000
1715.00000, 93.00000
1737.00000, 92.00000
1760.00000, 93.00000
1783.00000, 93.00000
1806.00000, 92.00000
1828.00000, 93.00000
1852.00000, 93.00000
1874.00000, 94.00000
1897.00000, 93.00000
1920.00000, 93.00000
1943.00000, 93.00000
1965.00000, 93.00000
1989.00000, 93.00000
2012.00000, 94.00000
2034.00000, 92.00000
2058.00000, 92.00000
2080.00000, 92.00000
2103.00000, 93.00000
2126.00000, 93.00000
2149.00000, 92.00000
2172.00000, 92.00000
2195.00000, 93.00000
2217.00000, 92.00000
2241.00000, 93.00000
2263.00000, 92.00000
2286.00000, 92.00000
2309.00000, 93.00000
2332.00000, 93.00000
2355.00000, 91.00000
2378.00000, 92.00000
2401.00000, 92.00000
2423.00000, 92.00000
2447.00000, 93.00000
2469.00000, 92.00000
2492.00000, 92.00000
2515.00000, 92.00000
2538.00000, 92.00000
2560.00000, 92.00000
2584.00000, 92.00000
2606.00000, 93.00000
2629.00000, 93.00000
2653.00000, 92.00000
2675.00000, 92.00000
2698.00000, 92.00000
2721.00000, 93.00000
2744.00000, 92.00000
2766.00000, 93.00000
2790.00000, 94.00000
2812.00000, 92.00000
2835.00000, 93.00000
2858.00000, 92.00000
2881.00000, 93.00000
2904.00000, 92.00000
2927.00000, 92.00000
2949.00000, 92.00000
2973.00000, 92.00000
2996.00000, 92.00000
3018.00000, 93.00000
3042.00000, 93.00000
3064.00000, 93.00000
3087.00000, 93.00000
3110.00000, 92.00000
3133.00000, 93.00000
3155.00000, 93.00000
3179.00000, 92.00000
3201.00000, 92.00000
3224.00000, 94.00000
3247.00000, 93.00000
3270.00000, 92.00000
3293.00000, 92.00000
3316.00000, 93.00000
3339.00000, 92.00000
3361.00000, 93.00000
3385.00000, 94.00000
3407.00000, 93.00000
3430.00000, 94.00000
3453.00000, 93.00000
3476.00000, 93.00000
3498.00000, 92.00000
3522.00000, 92.00000
3544.00000, 93.00000
3567.00000, 91.00000
3591.00000, 93.00000
3613.00000, 92.00000
3637.00000, 93.00000
3659.00000, 93.00000
3682.00000, 93.00000
3705.00000, 93.00000
3728.00000, 94.00000
3750.00000, 92.00000
3774.00000, 92.00000
3796.00000, 92.00000
3819.00000, 92.00000
3842.00000, 93.00000
3865.00000, 92.00000
3887.00000, 93.00000
3911.00000, 93.00000
3934.00000, 93.00000
3956.00000, 92.00000
3980.00000, 93.00000
4002.00000, 92.00000
4025.00000, 92.00000
4048.00000, 93.00000
4071.00000, 92.00000
4093.00000, 93.00000
4117.00000, 92.00000
4139.00000, 93.00000
4162.00000, 92.00000
4185.00000, 93.00000
4208.00000, 93.00000
4231.00000, 93.00000
4254.00000, 93.00000
4277.00000, 92.00000
4299.00000, 93.00000
4323.00000, 93.00000
4345.00000, 93.00000
4368.00000, 93.00000
4391.00000, 93.00000
4414.00000, 93.00000
4436.00000, 93.00000
4460.00000, 93.00000
4482.00000, 93.00000
4506.00000, 93.00000
4528.00000, 93.00000
4551.00000, 92.00000
4575.00000, 92.00000
4597.00000, 93.00000
4620.00000, 93.00000
4643.00000, 93.00000
4666.00000, 92.00000
4688.00000, 93.00000
4712.00000, 92.00000
4734.00000, 92.00000
4757.00000, 93.00000
4780.00000, 93.00000
4803.00000, 93.00000
4825.00000, 93.00000
4849.00000, 94.00000
4872.00000, 93.00000
4894.00000, 93.00000
4918.00000, 93.00000
4940.00000, 93.00000
4963.00000, 93.00000
4986.00000, 94.00000
5009.00000, 93.00000
5031.00000, 93.00000
5055.00000, 93.00000
5077.00000, 93.00000
5101.00000, 93.00000
5123.00000, 93.00000
5146.00000, 93.00000
5170.00000, 93.00000
5192.00000, 92.00000
5215.00000, 93.00000
5238.00000, 93.00000
5261.00000, 93.00000
5283.00000, 93.00000
5307.00000, 93.00000
5329.00000, 93.00000
5352.00000, 93.00000
5375.00000, 92.00000
5398.00000, 92.00000
5420.00000, 92.00000
5444.00000, 92.00000
5466.00000, 92.00000
5489.00000, 92.00000
5513.00000, 93.00000
5535.00000, 92.00000
5558.00000, 94.00000
5581.00000, 93.00000
5604.00000, 93.00000
5626.00000, 93.00000
5650.00000, 94.00000
5672.00000, 93.00000
5695.00000, 92.00000
5718.00000, 93.00000
5741.00000, 93.00000
5763.00000, 92.00000
5787.00000, 94.00000
5810.00000, 93.00000
5833.00000, 93.00000
5856.00000, 92.00000
5878.00000, 93.00000
5902.00000, 93.00000
5924.00000, 92.00000
5947.00000, 92.00000
5970.00000, 94.00000
5993.00000, 93.00000
6015.00000, 93.00000
6039.00000, 92.00000
6061.00000, 93.00000
6084.00000, 92.00000
6108.00000, 92.00000
6130.00000, 92.00000
6153.00000, 93.00000
6176.00000, 93.00000
6199.00000, 93.00000
6221.00000, 93.00000
6245.00000, 92.00000
6267.00000, 94.00000
6290.00000, 93.00000
6313.00000, 93.00000
6336.00000, 93.00000
6358.00000, 93.00000
6382.00000, 93.00000
6404.00000, 92.00000
6427.00000, 94.00000
6451.00000, 93.00000
6473.00000, 93.00000
6496.00000, 93.00000
6519.00000, 93.00000
6542.00000, 92.00000
6565.00000, 92.00000
6588.00000, 93.00000
6610.00000, 93.00000
6634.00000, 93.00000
6656.00000, 93.00000
6679.00000, 93.00000
6702.00000, 94.00000
6725.00000, 92.00000
6748.00000, 93.00000
6771.00000, 94.00000
6794.00000, 93.00000
6816.00000, 93.00000
6840.00000, 93.00000
6862.00000, 93.00000
6885.00000, 93.00000
6908.00000, 94.00000
6931.00000, 92.00000
6953.00000, 93.00000
6977.00000, 93.00000
6999.00000, 92.00000
7022.00000, 93.00000
7045.00000, 92.00000
7068.00000, 93.00000
7091.00000, 93.00000
7114.00000, 93.00000
7137.00000, 93.00000
7159.00000, 92.00000
7183.00000, 93.00000
7205.00000, 94.00000
7228.00000, 92.00000
7251.00000, 92.00000
7274.00000, 93.00000
7297.00000, 93.00000
7320.00000, 93.00000
7342.00000, 93.00000
7366.00000, 92.00000
7389.00000, 93.00000
7411.00000, 92.00000
7435.00000, 94.00000
7457.00000, 92.00000
7480.00000, 93.00000
7503.00000, 92.00000
7526.00000, 93.00000
7548.00000, 93.00000
7572.00000, 93.00000
7594.00000, 93.00000
7617.00000, 93.00000
7640.00000, 92.00000
7663.00000, 93.00000
7685.00000, 93.00000
7709.00000, 93.00000
7732.00000, 93.00000
7754.00000, 93.00000
7778.00000, 93.00000
7800.00000, 93.00000
7823.00000, 93.00000
7846.00000, 93.00000
7869.00000, 94.00000
7891.00000, 92.00000
7915.00000, 93.00000
7937.00000, 93.00000
7960.00000, 93.00000
7983.00000, 93.00000
8006.00000, 93.00000
8029.00000, 92.00000
8052.00000, 94.00000
8075.00000, 93.00000
8098.00000, 93.00000
8121.00000, 92.00000
8143.00000, 93.00000
8167.00000, 93.00000
8189.00000, 93.00000
8212.00000, 93.00000
8235.00000, 93.00000
8258.00000, 93.00000
8280.00000, 93.00000
8304.00000, 93.00000
8327.00000, 93.00000
8349.00000, 92.00000
8373.00000, 94.00000
8395.00000, 93.00000
8418.00000, 93.00000
8441.00000, 93.00000
8464.00000, 93.00000
8486.00000, 93.00000
8510.00000, 93.00000
8532.00000, 94.00000
8555.00000, 93.00000
8578.00000, 93.00000
8601.00000, 93.00000
8623.00000, 93.00000
8647.00000, 94.00000
8670.00000, 93.00000
8693.00000, 93.00000
8716.00000, 93.00000
8738.00000, 93.00000
8761.00000, 93.00000
8784.00000, 92.00000
8807.00000, 93.00000
8830.00000, 92.00000
8853.00000, 93.00000
8875.00000, 92.00000
8899.00000, 94.00000
8921.00000, 92.00000
8944.00000, 93.00000
8968.00000, 93.00000
8990.00000, 94.00000
9013.00000, 93.00000
9036.00000, 93.00000
9059.00000, 93.00000
9081.00000, 93.00000
9105.00000, 94.00000
9127.00000, 93.00000
9150.00000, 93.00000
9173.00000, 93.00000
9196.00000, 93.00000
9218.00000, 92.00000
9242.00000, 93.00000
9264.00000, 93.00000
9287.00000, 94.00000
9311.00000, 93.00000
9333.00000, 93.00000
9356.00000, 93.00000
9379.00000, 93.00000
9402.00000, 92.00000
9424.00000, 93.00000
9448.00000, 93.00000
9470.00000, 93.00000
9493.00000, 93.00000
9516.00000, 93.00000
9539.00000, 92.00000
9562.00000, 93.00000
9585.00000, 93.00000
9608.00000, 93.00000
9631.00000, 94.00000
9654.00000, 94.00000
9676.00000, 93.00000
9700.00000, 93.00000
9722.00000, 93.00000
9745.00000, 93.00000
9768.00000, 94.00000
9791.00000, 93.00000
9813.00000, 93.00000
9837.00000, 93.00000
9859.00000, 93.00000
9882.00000, 93.00000
9906.00000, 93.00000
9928.00000, 94.00000
9951.00000, 93.00000
9974.00000, 93.00000
9997.00000, 93.00000
10019.00000, 93.00000
10044.00000, 93.00000
10067.00000, 93.00000
10091.00000, 93.00000
10115.00000, 94.00000
10139.00000, 93.00000
10164.00000, 93.00000
10187.00000, 93.00000
10211.00000, 93.00000
10235.00000, 93.00000
10259.00000, 94.00000
10282.00000, 93.00000
10307.00000, 93.00000
10330.00000, 93.00000
10354.00000, 93.00000
10379.00000, 93.00000
10402.00000, 93.00000
10427.00000, 94.00000
10450.00000, 94.00000
10474.00000, 93.00000
10498.00000, 93.00000
10522.00000, 93.00000
10546.00000, 94.00000
10570.00000, 93.00000
10594.00000, 93.00000
10617.00000, 93.00000
10642.00000, 93.00000
10665.00000, 93.00000
10689.00000, 93.00000
10713.00000, 93.00000
10737.00000, 93.00000
10762.00000, 93.00000
10785.00000, 93.00000
10809.00000, 93.00000
10833.00000, 93.00000
10857.00000, 93.00000
10880.00000, 93.00000
10905.00000, 93.00000
10928.00000, 93.00000
10952.00000, 93.00000
10977.00000, 93.00000
11000.00000, 94.00000
11025.00000, 93.00000
11048.00000, 93.00000
11072.00000, 94.00000
11096.00000, 94.00000
11120.00000, 93.00000
11144.00000, 92.00000
11168.00000, 93.00000
11192.00000, 94.00000
11215.00000, 94.00000
11240.00000, 92.00000
11263.00000, 93.00000
11287.00000, 93.00000
11311.00000, 93.00000
11335.00000, 94.00000
11360.00000, 92.00000
11383.00000, 92.00000
11407.00000, 94.00000
11431.00000, 94.00000
11455.00000, 94.00000
11478.00000, 93.00000
11503.00000, 93.00000
11527.00000, 93.00000
11550.00000, 94.00000
11575.00000, 93.00000
11598.00000, 93.00000
11622.00000, 93.00000
11646.00000, 94.00000
11670.00000, 93.00000
11694.00000, 93.00000
11718.00000, 93.00000
11742.00000, 93.00000
11766.00000, 93.00000
11790.00000, 94.00000
11813.00000, 93.00000
11838.00000, 93.00000
11861.00000, 93.00000
11885.00000, 93.00000
11909.00000, 93.00000
11933.00000, 93.00000
11958.00000, 93.00000
11981.00000, 93.00000
12005.00000, 94.00000
12029.00000, 93.00000
12053.00000, 93.00000
12076.00000, 94.00000
12101.00000, 93.00000
12125.00000, 94.00000
12148.00000, 94.00000
12173.00000, 93.00000
12196.00000, 94.00000
12220.00000, 93.00000
12244.00000, 93.00000
12268.00000, 93.00000
12292.00000, 93.00000
12316.00000, 94.00000
12340.00000, 93.00000
12364.00000, 94.00000
12388.00000, 93.00000
12411.00000, 94.00000
12436.00000, 93.00000
12459.00000, 93.00000
12483.00000, 93.00000
12508.00000, 93.00000
12531.00000, 94.00000
12556.00000, 94.00000
12579.00000, 93.00000
12603.00000, 93.00000
12627.00000, 93.00000
12651.00000, 94.00000
12674.00000, 93.00000
12699.00000, 93.00000
12723.00000, 94.00000
12746.00000, 93.00000
12771.00000, 94.00000
12794.00000, 93.00000
12818.00000, 94.00000
12842.00000, 94.00000
12866.00000, 93.00000
12890.00000, 93.00000
12914.00000, 93.00000
12938.00000, 93.00000
12962.00000, 93.00000
12986.00000, 93.00000
13009.00000, 94.00000
13034.00000, 93.00000
13057.00000, 93.00000
13081.00000, 93.00000
13106.00000, 94.00000
13129.00000, 95.00000
13154.00000, 93.00000
13177.00000, 93.00000
13201.00000, 93.00000
13225.00000, 93.00000
13249.00000, 94.00000
13272.00000, 93.00000
13297.00000, 94.00000
13321.00000, 93.00000
13344.00000, 93.00000
13369.00000, 93.00000
13392.00000, 93.00000
13416.00000, 94.00000
13440.00000, 93.00000
13464.00000, 94.00000
13488.00000, 94.00000
13512.00000, 94.00000
13536.00000, 93.00000
13560.00000, 93.00000
13584.00000, 94.00000
13607.00000, 94.00000
13632.00000, 93.00000
13655.00000, 94.00000
13679.00000, 93.00000
13704.00000, 93.00000
13727.00000, 94.00000
13751.00000, 94.00000
13775.00000, 93.00000
13799.00000, 93.00000
13823.00000, 93.00000
13847.00000, 94.00000
13870.00000, 94.00000
13895.00000, 94.00000
13919.00000, 94.00000
13942.00000, 93.00000
13967.00000, 94.00000
13990.00000, 94.00000
14014.00000, 94.00000
14038.00000, 94.00000
14062.00000, 93.00000
14087.00000, 93.00000
14110.00000, 93.00000
14134.00000, 93.00000
14158.00000, 94.00000
14182.00000, 94.00000
14205.00000, 94.00000
14230.00000, 94.00000
14253.00000, 94.00000
14277.00000, 93.00000
14302.00000, 94.00000
14325.00000, 94.00000
14349.00000, 94.00000
14373.00000, 93.00000
14397.00000, 94.00000
14421.00000, 93.00000
14445.00000, 94.00000
14468.00000, 94.00000
14493.00000, 94.00000
14517.00000, 94.00000
14540.00000, 94.00000
14565.00000, 94.00000
