Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 9.91821, 35.85815, 14.64844, 36.31592, 42.87720, 36.31592, 25.93994, 12.20703, 53.71094, 2.13623
152.00000, 9.30786, 34.33228, 14.19067, 34.02710, 40.28320, 34.33228, 24.41406, 11.59668, 56.61011, 2.13623
265.00000, 9.61304, 35.70557, 14.64844, 35.40039, 44.55566, 37.68921, 26.85547, 12.81738, 56.15234, 2.13623
381.00000, 10.52856, 38.45215, 15.41138, 37.68921, 41.19873, 34.79004, 24.87183, 11.74927, 56.30493, 2.13623
496.00000, 9.15527, 32.65381, 13.88550, 33.26416, 39.97803, 33.56934, 24.10889, 11.29150, 54.77905, 2.13623
611.00000, 10.22339, 36.92627, 14.80103, 36.31592, 43.94531, 37.23145, 26.70288, 12.66479, 55.99976, 2.13623
727.00000, 9.46045, 34.63745, 14.34326, 34.79004, 39.97803, 33.56934, 24.10889, 11.29150, 55.54199, 2.13623
841.00000, 9.46045, 34.33228, 14.34326, 34.02710, 40.28320, 34.17969, 24.56665, 11.59668, 54.62646, 2.13623
957.00000, 10.22339, 37.38403, 15.25879, 37.23145, 43.48755, 36.77368, 26.09253, 12.51221, 55.38940, 2.13623
1071.00000, 9.46045, 34.48486, 14.19067, 34.17969, 39.21509, 33.11157, 23.80371, 11.13892, 55.23682, 2.13623
1188.00000, 9.46045, 34.63745, 14.34326, 34.79004, 41.80908, 35.40039, 25.17700, 12.05444, 54.93164, 2.13623
1303.00000, 9.61304, 35.24780, 14.64844, 35.55298, 41.80908, 35.40039, 25.32959, 12.05444, 55.23682, 2.13623
1419.00000, 9.46045, 34.17969, 14.19067, 34.63745, 40.58838, 34.48486, 24.71924, 11.59668, 54.93164, 2.13623
1535.00000, 9.46045, 34.17969, 14.19067, 34.17969, 40.13062, 34.02710, 24.41406, 11.59668, 55.08423, 2.13623
1650.00000, 36.31592, 105.28564, 45.01343, 115.81421, 57.83081, 51.72729, 36.92627, 17.70020, 90.63721, 3.05176
1770.00000, 18.76831, 75.83618, 30.51758, 65.15503, 51.26953, 44.70825, 33.26416, 15.25879, 102.84424, 3.35693
1888.00000, 18.46313, 81.32935, 27.61841, 57.52563, 88.34839, 91.85791, 68.81714, 32.34863, 105.43823, 4.27246
2006.00000, 10.98633, 43.48755, 14.34326, 26.70288, 60.42480, 58.59375, 44.40308, 20.29419, 121.00220, 4.42505
2122.00000, 42.11426, 131.98853, 48.21777, 107.87964, 57.22046, 63.01880, 46.99707, 24.56665, 82.55005, 3.66211
2241.00000, 20.75195, 100.55542, 28.53394, 40.28320, 126.34277, 128.32642, 100.86060, 41.04614, 287.17041, 13.73291
2365.00000, 31.58569, 104.82788, 35.09521, 51.72729, 53.40576, 56.91528, 45.16602, 21.20972, 103.14941, 3.66211
2484.00000, 11.29150, 49.13330, 16.32690, 22.73560, 39.21509, 60.11963, 44.55566, 28.83911, 76.59912, 2.74658
2601.00000, 34.63745, 143.43262, 39.36768, 65.00244, 50.96436, 65.00244, 51.26953, 26.55029, 132.90405, 4.27246
2719.00000, 12.05444, 63.01880, 16.47949, 16.63208, 96.43555, 124.81689, 93.84155, 49.59106, 274.50562, 10.07080
2838.00000, 28.68652, 126.49536, 30.36499, 34.48486, 107.42188, 149.53613, 118.56079, 65.30762, 242.76733, 12.20703
