Time, v, b, c, g, gy, y, o, r, cl, nir
4890.00000, 4.88281, 13.58032, 45.16602, 58.13599, 17.39502, 5.03540, 12.20703, 41.35132, 89.41650, 4.88281
5004.00000, 5.34058, 14.64844, 54.16870, 77.20947, 18.00537, 4.88281, 11.90186, 41.65649, 90.02686, 4.57764
5119.00000, 4.42505, 12.66479, 37.23145, 50.20142, 15.86914, 4.88281, 11.44409, 42.11426, 81.48193, 4.27246
5234.00000, 4.57764, 11.29150, 48.37036, 72.32666, 17.70020, 4.42505, 11.90186, 39.36768, 92.01050, 4.88281
5349.00000, 4.57764, 11.13892, 52.33765, 76.59912, 18.76831, 4.42505, 11.59668, 40.58838, 98.57178, 5.18799
5463.00000, 4.57764, 11.29150, 54.77905, 88.95874, 19.07349, 4.42505, 11.13892, 38.29956, 95.67261, 4.88281
5577.00000, 4.27246, 9.91821, 50.20142, 85.44922, 18.61572, 4.27246, 10.68115, 36.01074, 103.45459, 4.88281
5692.00000, 4.27246, 9.76563, 54.93164, 95.21484, 21.05713, 4.42505, 11.59668, 38.14697, 107.57446, 5.49316
5807.00000, 4.73022, 9.91821, 60.57739, 103.60718, 23.49854, 4.88281, 12.20703, 41.80908, 119.78149, 5.79834
5923.00000, 5.18799, 10.52856, 64.69727, 119.78149, 23.80371, 4.88281, 12.05444, 41.04614, 117.79785, 5.49316
6040.00000, 4.73022, 9.91821, 63.01880, 115.81421, 23.49854, 4.73022, 11.74927, 38.60474, 115.81421, 5.49316
6156.00000, 4.73022, 9.91821, 63.93433, 120.08667, 24.87183, 5.03540, 12.20703, 40.28320, 120.69702, 5.79834
6271.00000, 4.88281, 10.22339, 62.10327, 117.79785, 24.41406, 5.34058, 12.51221, 41.65649, 111.54175, 5.49316
6387.00000, 4.73022, 10.22339, 59.50928, 113.06763, 25.32959, 5.18799, 12.51221, 40.43579, 111.08398, 5.18799
6504.00000, 4.73022, 10.07080, 58.89893, 111.38916, 25.17700, 5.18799, 12.20703, 39.21509, 108.48999, 5.18799
6621.00000, 4.88281, 10.37598, 59.66187, 116.42456, 27.31323, 5.64575, 13.12256, 42.87720, 115.35645, 5.49316
6738.00000, 5.03540, 10.52856, 61.64551, 121.91772, 28.38135, 5.79834, 13.42773, 42.11426, 120.39185, 5.79834
6855.00000, 5.34058, 11.29150, 66.37573, 131.07300, 31.28052, 6.25610, 14.80103, 44.86084, 132.44629, 6.40869
6972.00000, 5.34058, 11.59668, 66.37573, 130.00488, 31.73828, 6.56128, 15.41138, 45.92896, 133.20923, 6.10352
7089.00000, 5.64575, 12.05444, 64.69727, 121.30737, 31.73828, 6.71387, 15.56396, 47.45483, 126.49536, 6.40869
7206.00000, 5.34058, 11.44409, 61.34033, 118.56079, 31.28052, 6.40869, 15.41138, 44.70825, 125.12207, 6.10352
7323.00000, 5.34058, 11.44409, 62.56104, 124.96948, 33.26416, 6.56128, 15.86914, 45.47119, 136.56616, 6.40869
7440.00000, 5.64575, 11.29150, 66.07056, 130.92041, 33.87451, 6.71387, 15.41138, 46.99707, 133.66699, 6.40869
7556.00000, 5.34058, 10.83374, 63.47656, 131.98853, 33.41675, 6.40869, 15.41138, 44.55566, 131.07300, 6.40869
7672.00000, 5.18799, 10.37598, 61.03516, 126.49536, 33.11157, 6.56128, 15.25879, 43.94531, 131.37817, 6.40869
7788.00000, 5.18799, 10.68115, 62.40845, 125.27466, 34.17969, 6.71387, 15.56396, 44.55566, 132.59888, 6.40869
7905.00000, 5.03540, 10.68115, 60.27222, 124.66431, 35.09521, 7.01904, 15.71655, 44.09790, 126.03760, 6.10352
8022.00000, 5.18799, 10.98633, 58.74634, 126.95313, 35.55298, 7.47681, 16.47949, 44.70825, 121.15479, 6.10352
8137.00000, 5.34058, 11.74927, 60.72998, 132.90405, 37.38403, 8.08716, 17.39502, 47.45483, 128.17383, 6.10352
8254.00000, 5.34058, 11.90186, 60.27222, 132.59888, 36.31592, 8.23975, 16.78467, 46.99707, 121.91772, 5.79834
8371.00000, 5.49316, 11.90186, 64.08691, 137.17651, 39.97803, 8.85010, 17.70020, 49.89624, 129.69971, 6.40869
8487.00000, 5.79834, 12.81738, 66.37573, 145.72144, 41.65649, 9.15527, 18.46313, 52.94800, 132.44629, 6.40869
8604.00000, 5.79834, 12.51221, 65.15503, 143.89038, 42.87720, 9.30786, 19.22607, 51.72729, 140.83862, 7.01904
8722.00000, 5.95093, 13.27515, 68.05420, 149.99390, 44.86084, 9.76563, 19.98901, 53.10059, 145.87402, 7.32422
8839.00000, 6.10352, 13.58032, 68.20679, 155.33447, 47.76001, 10.68115, 21.82007, 57.37305, 151.06201, 7.32422
8956.00000, 6.10352, 13.58032, 68.96973, 158.08105, 47.14966, 10.37598, 21.05713, 55.54199, 160.82764, 7.93457
9074.00000, 5.95093, 12.66479, 65.91797, 148.77319, 46.38672, 10.22339, 20.44678, 54.16870, 152.58789, 7.32422
9192.00000, 5.95093, 12.81738, 64.39209, 149.84131, 47.76001, 10.52856, 21.51489, 54.62646, 150.60425, 7.32422
9311.00000, 6.10352, 13.58032, 68.96973, 158.38623, 53.25317, 11.29150, 23.34595, 61.49292, 159.45435, 7.93457
9429.00000, 6.25610, 14.03809, 70.03784, 158.38623, 50.50659, 10.98633, 22.58301, 58.89893, 165.25269, 7.93457
9546.00000, 5.49316, 11.90186, 60.42480, 138.09204, 45.77637, 10.22339, 20.75195, 53.86353, 139.46533, 6.71387
9664.00000, 5.95093, 12.05444, 62.86621, 140.68604, 46.38672, 10.68115, 21.05713, 52.94800, 144.95850, 7.01904
9781.00000, 5.95093, 13.12256, 62.71362, 152.74048, 54.62646, 11.74927, 23.80371, 59.50928, 154.11377, 7.62939
9899.00000, 6.71387, 14.19067, 68.96973, 160.98022, 56.45752, 12.81738, 24.87183, 64.54468, 166.62598, 8.23975
10016.00000, 6.40869, 13.73291, 68.35938, 160.36987, 55.38940, 12.35962, 25.32959, 61.18774, 173.49243, 8.54492
10136.00000, 6.10352, 12.96997, 63.62915, 151.36719, 50.65918, 11.59668, 23.49854, 57.83081, 166.77856, 7.93457
10253.00000, 5.79834, 11.90186, 61.34033, 144.65332, 49.13330, 11.13892, 22.73560, 56.76270, 156.55518, 7.62939
10372.00000, 5.79834, 12.05444, 60.88257, 146.63696, 48.67554, 11.29150, 22.73560, 58.28857, 156.09741, 7.62939
10491.00000, 5.64575, 11.74927, 60.11963, 145.87402, 48.82813, 11.59668, 22.73560, 59.50928, 146.17920, 7.32422
10610.00000, 5.49316, 11.29150, 59.20410, 141.14380, 49.13330, 11.13892, 22.27783, 57.22046, 149.07837, 7.62939
10729.00000, 5.79834, 11.29150, 60.57739, 140.99121, 50.20142, 11.13892, 23.04077, 58.89893, 146.48438, 7.32422
10847.00000, 5.49316, 11.29150, 58.74634, 142.51709, 48.37036, 11.13892, 22.43042, 58.59375, 145.72144, 7.62939
10966.00000, 5.18799, 10.22339, 55.38940, 133.36182, 45.62378, 10.22339, 21.05713, 55.38940, 140.38086, 7.32422
11083.00000, 5.03540, 9.76563, 53.10059, 130.31006, 44.25049, 10.52856, 20.90454, 55.23682, 137.48169, 7.01904
11201.00000, 5.18799, 9.76563, 53.10059, 131.37817, 45.16602, 10.68115, 21.51489, 55.84717, 141.60156, 7.01904
11319.00000, 5.18799, 10.07080, 54.32129, 130.61523, 47.30225, 11.13892, 21.97266, 58.59375, 137.17651, 7.01904
11439.00000, 5.18799, 10.07080, 53.86353, 132.29370, 46.84448, 10.98633, 22.27783, 57.22046, 143.89038, 7.32422
11557.00000, 5.18799, 9.76563, 53.55835, 130.61523, 46.99707, 10.98633, 22.43042, 58.44116, 142.51709, 7.32422
11675.00000, 5.18799, 9.76563, 53.71094, 130.92041, 47.45483, 11.13892, 22.58301, 59.20410, 145.41626, 7.62939
11792.00000, 5.03540, 9.76563, 53.10059, 130.15747, 46.99707, 10.98633, 22.58301, 59.05151, 142.97485, 7.32422
11910.00000, 5.03540, 9.61304, 52.33765, 130.76782, 46.38672, 10.98633, 22.43042, 58.44116, 139.77051, 7.32422
12026.00000, 5.03540, 9.46045, 51.72729, 127.71606, 47.14966, 11.13892, 22.88818, 59.05151, 140.53345, 7.32422
12144.00000, 5.03540, 9.30786, 50.96436, 127.25830, 48.37036, 11.29150, 22.88818, 59.50928, 144.04297, 7.62939
12262.00000, 5.03540, 9.00269, 49.89624, 125.57983, 46.38672, 11.13892, 22.58301, 57.83081, 137.48169, 7.32422
12381.00000, 5.03540, 9.30786, 50.50659, 127.25830, 48.98071, 11.59668, 23.65112, 60.42480, 143.28003, 7.62939
12498.00000, 5.03540, 9.30786, 51.11694, 129.54712, 49.28589, 11.74927, 23.80371, 60.42480, 140.38086, 7.32422
12616.00000, 5.03540, 9.61304, 50.81177, 129.24194, 50.65918, 12.05444, 24.71924, 61.34033, 145.72144, 7.62939
12734.00000, 5.03540, 9.15527, 49.59106, 124.96948, 49.28589, 12.05444, 24.26147, 58.89893, 138.70239, 7.32422
12853.00000, 5.34058, 9.61304, 50.20142, 132.75146, 53.86353, 12.96997, 25.63477, 64.69727, 142.97485, 7.62939
