, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.13980, 0.0042700, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.13980, 0.00427Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
1.00000, 12.96997, 53.86353, 23.34595, 48.21777, 56.61011, 52.03247, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.48718, -0.48718, -0.48718
221.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 52.03247, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.48718, 0.00000, -0.24359
376.00000, 13.12256, 53.71094, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.32621, -0.00427, -0.00142
530.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.24466, 0.00427, 0.00000
683.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.19573, -0.00427, 0.00000
836.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.16382, 0.00000, -0.00071
1063.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.14012, 0.00209, 0.00030
1216.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.12260, -0.00209, 0.00000
1372.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.10921, 0.00000, -0.00023
1600.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.09808, 0.00209, 0.00021
1754.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.08916, -0.00209, 0.00000
1910.00000, 13.12256, 53.86353, 23.34595, 47.91260, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.08191, 0.00000, -0.00017
2065.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.07561, 0.00000, 0.00000
2220.00000, 12.96997, 53.71094, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.06990, 0.00427, 0.00031
2373.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.06524, -0.00427, 0.00000
2529.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.06116, 0.00427, 0.00000
2684.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.05757, -0.00427, 0.00000
2839.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.05461, 0.00000, -0.00024
2994.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.05173, 0.00000, 0.00000
3149.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.04893, 0.00427, 0.00021
3303.00000, 13.12256, 53.86353, 23.34595, 47.91260, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.04660, -0.00427, 0.00000
3457.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.04468, 0.00000, -0.00019
3612.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.04274, 0.00000, 0.00000
3765.00000, 13.12256, 53.71094, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.04095, 0.00000, 0.00000
3920.00000, 13.12256, 53.71094, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.03915, 0.00427, 0.00017
