Time, v, b, c, g, gy, y, o, r, cl, nir
1.00000, 18.61572, 82.55005, 28.38135, 74.46289, 80.71899, 74.61548, 57.83081, 24.87183, 57.22046, 2.44141
155.00000, 19.37866, 89.41650, 28.68652, 71.25854, 93.23120, 75.22583, 63.78174, 25.32959, 62.56104, 2.74658
271.00000, 17.85278, 77.05688, 26.24512, 67.44385, 67.44385, 61.64551, 46.08154, 20.59937, 55.99976, 2.44141
387.00000, 18.61572, 82.85522, 28.38135, 74.00513, 70.03784, 60.57739, 50.04883, 21.05713, 59.81445, 2.44141
503.00000, 17.24243, 75.68359, 24.56665, 60.72998, 67.44385, 58.89893, 47.45483, 19.83643, 58.89893, 2.44141
617.00000, 18.92090, 82.85522, 27.16064, 68.96973, 72.93701, 69.27490, 50.50659, 22.73560, 57.22046, 2.44141
733.00000, 16.32690, 70.19043, 24.41406, 62.25586, 67.90161, 59.35669, 47.91260, 20.14160, 59.81445, 2.44141
849.00000, 16.17432, 69.58008, 23.65112, 59.81445, 75.68359, 72.63184, 54.93164, 24.10889, 58.28857, 2.44141
965.00000, 19.37866, 86.97510, 28.68652, 74.15771, 79.80347, 76.90430, 57.67822, 25.02441, 58.44116, 2.44141
1081.00000, 16.17432, 70.34302, 23.95630, 60.88257, 68.05420, 59.35669, 48.67554, 20.29419, 59.20410, 2.44141
1195.00000, 16.47949, 70.95337, 25.93994, 67.59644, 78.43018, 76.59912, 56.76270, 25.02441, 58.44116, 2.44141
1314.00000, 17.70020, 78.27759, 27.61841, 72.32666, 75.98877, 71.56372, 55.23682, 24.10889, 58.89893, 2.44141
1430.00000, 16.17432, 69.12231, 23.80371, 60.42480, 71.86890, 65.15503, 52.33765, 22.12524, 58.89893, 2.44141
1547.00000, 16.63208, 72.78442, 26.39771, 69.12231, 78.27759, 75.68359, 56.91528, 24.87183, 58.44116, 2.44141
1662.00000, 16.47949, 70.34302, 25.63477, 66.98608, 74.76807, 69.42749, 54.16870, 23.65112, 58.89893, 2.44141
1779.00000, 16.17432, 68.66455, 24.56665, 63.01880, 73.39478, 68.51196, 53.55835, 23.19336, 58.28857, 2.44141
