,
Time, v, b, c, g, gy, y, o, r, cl, nir
5629.00000, 14.03809, 46.23413, 20.90454, 53.25317, 53.10059, 43.79272, 30.67017, 13.88550, 60.72998, 2.44141
5747.00000, 12.81738, 42.57202, 18.92090, 47.60742, 63.47656, 52.49023, 35.85815, 16.47949, 57.22046, 2.74658
5862.00000, 15.41138, 49.59106, 22.27783, 56.30493, 72.17407, 60.42480, 40.28320, 18.76831, 56.91528, 2.44141
5978.00000, 12.81738, 42.57202, 19.07349, 48.06519, 56.15234, 45.92896, 32.50122, 14.49585, 60.42480, 2.74658
6094.00000, 14.80103, 47.76001, 21.82007, 55.23682, 77.66724, 65.15503, 42.87720, 20.29419, 56.91528, 2.74658
6212.00000, 18.46313, 57.06787, 26.70288, 68.81714, 78.27759, 65.46021, 43.48755, 20.29419, 58.13599, 3.05176
6327.00000, 13.12256, 43.33496, 19.53125, 48.98071, 61.79810, 50.96436, 34.94263, 16.02173, 58.59375, 2.74658
6445.00000, 16.47949, 51.72729, 24.56665, 63.32397, 78.58276, 66.52832, 42.87720, 20.44678, 57.06787, 2.74658
6561.00000, 15.25879, 48.67554, 22.58301, 57.83081, 65.76538, 54.62646, 36.92627, 17.08984, 58.28857, 2.74658
6678.00000, 13.88550, 45.47119, 20.44678, 51.72729, 73.08960, 61.18774, 40.89355, 19.22607, 57.83081, 3.05176
6795.00000, 16.17432, 51.26953, 24.10889, 62.40845, 72.32666, 60.57739, 40.43579, 18.92090, 57.52563, 2.74658
6910.00000, 15.10620, 48.21777, 22.27783, 56.61011, 66.37573, 55.23682, 37.23145, 17.24243, 58.13599, 2.74658
7028.00000, 15.71655, 50.20142, 23.49854, 59.96704, 71.41113, 59.96704, 39.97803, 18.76831, 57.67822, 2.74658
7145.00000, 12.20703, 52.18506, 18.31055, 43.18237, 194.85474, 173.95020, 132.90405, 54.32129, 392.15088, 15.86914
7267.00000, 14.19067, 53.55835, 18.92090, 32.95898, 47.60742, 54.62646, 39.82544, 19.83643, 58.74634, 2.74658
7384.00000, 16.63208, 79.49829, 22.58301, 39.82544, 29.14429, 33.26416, 28.07617, 12.66479, 65.46021, 2.13623
7501.00000, 7.62939, 28.53394, 9.76563, 12.66479, 45.47119, 44.55566, 40.58838, 18.15796, 124.66431, 3.66211
7617.00000, 15.10620, 59.05151, 18.15796, 27.77100, 30.21240, 39.97803, 34.33228, 17.08984, 80.71899, 2.74658
7734.00000, 7.47681, 32.34863, 9.76563, 8.23975, 8.08716, 16.02173, 14.95361, 8.39233, 26.85547, 0.91553
7845.00000, 11.74927, 51.42212, 14.19067, 14.80103, 14.80103, 27.61841, 26.55029, 16.32690, 49.74365, 1.83105
7962.00000, 28.83911, 129.39453, 20.29419, 9.61304, 17.24243, 41.04614, 41.35132, 27.46582, 67.29126, 2.74658
8078.00000, 19.83643, 88.04321, 15.86914, 7.93457, 9.61304, 30.67017, 31.28052, 22.88818, 47.60742, 1.83105
8192.00000, 21.97266, 93.07861, 14.19067, 5.18799, 10.98633, 41.50391, 41.50391, 35.85815, 61.49292, 2.13623
8309.00000, 37.99438, 115.20386, 15.71655, 6.56128, 45.47119, 160.98022, 168.45703, 108.79517, 346.52710, 16.17432
8431.00000, 61.64551, 217.89551, 28.53394, 10.52856, 41.04614, 154.11377, 169.98291, 126.34277, 382.23267, 15.86914
8554.00000, 96.28296, 305.02319, 35.85815, 14.64844, 17.70020, 61.95068, 68.96973, 56.91528, 154.26636, 5.79834
8674.00000, 29.14429, 104.67529, 15.86914, 5.34058, 9.76563, 32.04346, 38.75732, 38.14697, 79.04053, 3.05176
8789.00000, 12.35962, 66.07056, 11.44409, 3.50952, 27.16064, 82.85522, 99.02954, 86.66992, 236.20605, 10.07080
8907.00000, 57.52563, 185.24170, 30.82275, 12.96997, 26.55029, 73.24219, 87.28027, 83.46558, 222.01538, 9.46045
9026.00000, 50.50659, 177.00195, 40.13062, 21.66748, 32.19604, 65.00244, 77.36206, 79.04053, 212.70752, 9.46045
9146.00000, 43.64014, 157.77588, 43.33496, 27.46582, 27.46582, 49.43848, 61.03516, 66.68091, 173.64502, 7.62939
9265.00000, 37.99438, 137.78687, 44.86084, 32.65381, 33.72192, 48.37036, 60.27222, 69.88525, 198.21167, 8.85010
9383.00000, 32.65381, 127.10571, 51.57471, 45.92896, 34.48486, 41.80908, 52.18506, 64.84985, 178.68042, 7.93457
9502.00000, 27.77100, 106.50635, 53.86353, 55.99976, 39.82544, 39.21509, 49.28589, 64.23950, 181.12183, 8.23975
9620.00000, 28.53394, 107.42188, 68.81714, 91.70532, 49.43848, 38.45215, 48.98071, 61.18774, 197.90649, 8.23975
9740.00000, 25.78735, 99.18213, 70.34302, 99.02954, 55.38940, 39.67285, 49.59106, 63.93433, 216.06445, 9.46045
9858.00000, 25.32959, 97.50366, 79.95605, 123.13843, 56.76270, 36.46851, 46.69189, 62.86621, 223.08350, 10.07080
9977.00000, 24.41406, 95.21484, 88.65356, 140.53345, 56.45752, 32.50122, 41.96167, 60.11963, 215.75928, 9.76563
10095.00000, 21.66748, 84.07593, 85.14404, 141.44897, 55.99976, 29.60205, 39.36768, 57.98340, 198.97461, 9.15527
