Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
218.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
756.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
863.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
1259.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
1364.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
1545.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
1652.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
2048.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
2155.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
2552.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
2658.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
3698.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
3878.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
4202.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000, 0.15259, 0.00000, 0.15259, 0.00000
4309.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.45776, 0.00000, 0.00000, 0.00000, 0.45776, 0.00000
4417.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.30518, 0.00000, 0.15259, 0.00000, 0.30518, 0.00000
4522.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
4702.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
4808.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000, 0.15259, 0.00000, 0.45776, 0.00000
4915.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.15259, 0.00000, 0.30518, 0.00000
5022.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
5130.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.15259, 0.00000, 0.30518, 0.00000
5235.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.30518, 0.15259, 0.15259, 0.00000, 0.61035, 0.00000
5343.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000, 0.15259, 0.15259, 0.45776, 0.00000
5449.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.30518, 0.00000, 0.15259, 0.00000, 0.30518, 0.00000
5557.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.15259, 0.00000, 0.45776, 0.00000
5662.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.15259, 0.00000, 0.00000, 0.61035, 0.00000
5770.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
5876.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.45776, 0.00000
5984.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
6162.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.15259, 0.00000, 0.30518, 0.00000
6342.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
6450.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.15259, 0.00000, 0.30518, 0.00000
6555.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.45776, 0.00000
6663.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.45776, 0.15259, 0.15259, 0.00000, 0.61035, 0.00000
6770.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.45776, 0.00000, 0.00000, 0.00000, 0.45776, 0.00000
6878.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.45776, 0.00000, 0.00000, 0.00000, 0.45776, 0.00000
6985.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.30518, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
7093.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.45776, 0.00000, 0.15259, 0.00000, 0.45776, 0.00000
7198.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
7305.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
7412.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
7518.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
7625.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
[ERROR] INVALID REACTION DATA
