Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 2.28882, 3.66211, 7.47681, 10.37598, 20.29419, 22.73560, 34.33228, 14.49585, 136.87134, 14.95361
154.00000, 2.28882, 3.50952, 7.47681, 10.22339, 19.07349, 20.75195, 31.89087, 13.12256, 131.22559, 14.64844
270.00000, 1.98364, 2.74658, 6.10352, 8.69751, 15.86914, 14.49585, 31.28052, 10.68115, 107.42188, 11.59668
383.00000, 1.22070, 3.35693, 4.57764, 9.30786, 16.02173, 14.80103, 32.34863, 11.13892, 100.86060, 10.07080
497.00000, 1.22070, 3.20435, 4.57764, 9.30786, 16.02173, 14.64844, 32.04346, 11.13892, 99.63989, 10.07080
610.00000, 1.22070, 3.05176, 4.42505, 9.30786, 15.71655, 14.34326, 31.73828, 10.83374, 97.80884, 9.76563
721.00000, 1.22070, 3.05176, 4.27246, 9.30786, 15.86914, 14.49585, 31.73828, 10.83374, 97.80884, 9.91821
832.00000, 1.22070, 3.35693, 4.57764, 9.46045, 16.02173, 14.49585, 32.04346, 11.13892, 98.87695, 9.76563
944.00000, 1.06812, 3.20435, 4.27246, 9.46045, 15.71655, 14.34326, 31.73828, 10.83374, 97.19849, 9.76563
1055.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.86914, 14.34326, 31.73828, 10.83374, 97.35107, 9.76563
1168.00000, 1.06812, 3.20435, 4.42505, 9.30786, 15.71655, 14.19067, 31.73828, 10.83374, 97.35107, 9.76563
1279.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.71655, 14.34326, 31.89087, 10.83374, 97.65625, 9.76563
1392.00000, 1.22070, 3.20435, 4.27246, 9.46045, 15.86914, 14.19067, 31.89087, 10.83374, 97.80884, 9.76563
1504.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.86914, 14.34326, 31.89087, 10.83374, 98.11401, 9.91821
1615.00000, 1.06812, 3.20435, 4.42505, 9.46045, 15.86914, 14.34326, 32.04346, 10.98633, 98.26660, 10.07080
1727.00000, 1.22070, 3.20435, 4.27246, 9.46045, 15.86914, 14.49585, 32.04346, 10.98633, 98.11401, 9.76563
1840.00000, 1.22070, 3.20435, 4.42505, 9.46045, 15.86914, 14.49585, 32.04346, 10.98633, 98.57178, 10.07080
1954.00000, 1.22070, 3.20435, 4.27246, 9.46045, 15.86914, 14.34326, 31.89087, 10.98633, 98.26660, 9.91821
2067.00000, 1.22070, 3.20435, 4.27246, 9.30786, 15.86914, 14.34326, 31.89087, 10.98633, 98.11401, 9.76563
2180.00000, 1.06812, 3.20435, 4.42505, 9.46045, 15.86914, 14.34326, 32.04346, 10.98633, 98.26660, 9.76563
2292.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.71655, 14.19067, 31.89087, 10.83374, 97.65625, 9.76563
2405.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.86914, 14.19067, 31.89087, 10.98633, 98.11401, 10.07080
2520.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.71655, 14.19067, 31.89087, 10.83374, 97.80884, 9.76563
2705.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.71655, 14.34326, 31.89087, 10.83374, 97.96143, 9.76563
2816.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.71655, 14.34326, 31.73828, 10.83374, 97.50366, 9.76563
2927.00000, 1.06812, 3.20435, 4.27246, 9.46045, 15.71655, 14.34326, 31.89087, 10.83374, 97.80884, 9.76563
3041.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.71655, 14.34326, 31.73828, 10.83374, 97.50366, 9.76563
3153.00000, 1.06812, 3.20435, 4.42505, 9.30786, 15.71655, 14.19067, 31.89087, 10.83374, 97.65625, 9.76563
3264.00000, 1.06812, 3.20435, 4.27246, 9.30786, 15.71655, 14.19067, 31.73828, 10.83374, 97.50366, 9.76563
3378.00000, 1.22070, 3.20435, 4.27246, 9.30786, 15.71655, 14.34326, 31.89087, 10.83374, 97.35107, 9.76563
3490.00000, 1.22070, 3.20435, 4.27246, 9.30786, 15.71655, 14.34326, 31.89087, 10.83374, 97.19849, 9.76563
3603.00000, 1.06812, 3.20435, 4.27246, 9.46045, 15.86914, 14.49585, 31.89087, 10.98633, 97.65625, 9.76563
3715.00000, 1.06812, 3.20435, 4.27246, 9.46045, 15.86914, 14.34326, 31.89087, 10.98633, 96.89331, 9.76563
3827.00000, 1.22070, 3.20435, 4.27246, 9.61304, 16.02173, 14.64844, 32.04346, 11.13892, 97.65625, 9.76563
3939.00000, 1.22070, 3.35693, 4.57764, 9.61304, 16.47949, 15.41138, 32.04346, 11.59668, 100.25024, 10.37598
4051.00000, 1.37329, 3.35693, 5.03540, 9.76563, 17.08984, 16.47949, 32.19604, 12.05444, 106.65894, 11.29150
4167.00000, 1.52588, 3.35693, 5.34058, 9.91821, 17.70020, 17.08984, 32.19604, 12.35962, 110.01587, 11.59668
4282.00000, 1.52588, 3.35693, 5.49316, 9.91821, 17.70020, 17.39502, 32.19604, 12.35962, 111.69434, 11.59668
4397.00000, 1.67847, 3.35693, 5.64575, 9.76563, 17.85278, 17.85278, 32.19604, 12.66479, 113.37280, 11.90186
4511.00000, 1.67847, 3.35693, 5.79834, 9.91821, 18.00537, 18.00537, 32.19604, 12.66479, 114.74609, 12.20703
4626.00000, 1.67847, 3.50952, 5.79834, 9.91821, 18.15796, 18.15796, 32.19604, 12.81738, 115.81421, 12.20703
4742.00000, 1.67847, 3.50952, 5.95093, 9.91821, 18.15796, 18.31055, 32.04346, 12.81738, 116.57715, 12.51221
4853.00000, 1.67847, 3.35693, 5.95093, 9.76563, 18.00537, 18.31055, 31.73828, 12.66479, 115.20386, 12.20703
4970.00000, 1.67847, 3.35693, 5.95093, 9.76563, 17.85278, 18.31055, 31.12793, 12.66479, 111.84692, 11.59668
5083.00000, 1.67847, 3.35693, 5.95093, 9.76563, 17.85278, 18.15796, 30.67017, 12.51221, 108.79517, 10.98633
5198.00000, 1.67847, 3.35693, 5.95093, 9.61304, 17.70020, 18.15796, 30.36499, 12.51221, 107.11670, 10.68115
5312.00000, 1.67847, 3.35693, 5.95093, 9.46045, 17.54761, 18.15796, 30.05981, 12.20703, 105.89600, 10.68115
5425.00000, 1.67847, 3.35693, 5.95093, 9.46045, 17.39502, 18.15796, 29.60205, 12.20703, 104.06494, 10.37598
5540.00000, 1.67847, 3.20435, 5.79834, 9.30786, 17.08984, 17.85278, 28.99170, 12.05444, 101.31836, 10.07080
5655.00000, 1.67847, 3.20435, 5.79834, 9.00269, 16.78467, 17.39502, 27.92358, 11.59668, 97.19849, 9.76563
5768.00000, 1.67847, 2.74658, 5.34058, 8.39233, 14.95361, 15.86914, 25.02441, 9.91821, 81.17676, 8.54492
5878.00000, 0.76294, 2.13623, 2.74658, 6.86646, 10.07080, 10.22339, 21.51489, 7.17163, 48.52295, 4.88281
5988.00000, 0.76294, 2.13623, 2.44141, 6.10352, 8.85010, 9.61304, 19.98901, 6.71387, 44.25049, 4.27246
6098.00000, 0.61035, 1.52588, 1.52588, 4.73022, 6.40869, 7.93457, 16.47949, 5.79834, 35.70557, 3.35693
6208.00000, 0.61035, 0.76294, 1.06812, 2.89917, 4.11987, 6.56128, 10.83374, 4.57764, 20.90454, 1.83105
6314.00000, 0.45776, 0.61035, 1.06812, 2.28882, 3.81470, 6.25610, 9.76563, 4.27246, 18.31055, 1.52588
6425.00000, 0.45776, 0.76294, 1.06812, 2.44141, 3.66211, 5.95093, 8.69751, 3.96729, 16.47949, 1.22070
6534.00000, 0.45776, 0.76294, 1.06812, 2.28882, 3.50952, 5.95093, 8.39233, 3.96729, 16.17432, 1.22070
6642.00000, 0.45776, 0.61035, 1.06812, 2.13623, 3.50952, 5.95093, 8.39233, 3.96729, 15.86914, 1.22070
